2,"select top # ra,dec,modelMag_u,modelMag_g,modelMag_r, modelMag_i,modelMag_z,objID from photoObj where type = &&& AND   modelmag_u-modelmag_r > # AND   modelmag_r-modelmag_z < # AND   modelmag_u- modelmag_r > # +  modelmag_r-modelmag_z"
2019-04-30 04:38:00,1
2019-04-30 04:44:00,1
