2,"select objID, ra, dec,z, modelMag_u-modelMag_r, modelMag_r-modelMag_z into mydb.MyTable from Galaxy where modelMag_u-modelMag_r < # AND   modelMag_r-modelMag_z < # AND   modelMag_u-modelMag_r > # + # * modelMag_r-modelMag_z"
2019-04-30 07:06:00,1
2019-04-30 11:24:00,1
