13,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-04-30 06:02:00,1
2019-04-30 06:08:00,1
2019-04-30 06:09:00,1
2019-04-30 06:31:00,1
2019-04-30 07:43:00,1
2019-04-30 13:26:00,1
2019-04-30 13:39:00,1
2019-04-30 13:46:00,1
2019-04-30 14:01:00,1
2019-04-30 14:28:00,1
2019-04-30 15:03:00,1
2019-04-30 15:08:00,1
2019-04-30 15:22:00,1
