23,"select top # p.objid, p.ra, p.dec from galaxy p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-04-30 16:37:00,1
2019-04-30 16:43:00,1
2019-04-30 16:45:00,1
2019-04-30 16:50:00,1
2019-04-30 18:58:00,1
2019-04-30 18:59:00,1
2019-04-30 19:00:00,1
2019-04-30 19:02:00,3
2019-04-30 19:03:00,1
2019-04-30 19:04:00,1
2019-04-30 19:05:00,1
2019-04-30 19:06:00,1
2019-04-30 19:08:00,1
2019-04-30 19:09:00,1
2019-04-30 19:17:00,1
2019-04-30 19:22:00,1
2019-04-30 19:23:00,2
2019-04-30 19:24:00,2
2019-04-30 19:25:00,1
