271,"select p.objid,type FROM PhotoPrimary AS p WHERE type=# AND p.objid = #"
2019-04-30 09:09:00,1
2019-04-30 09:13:00,5
2019-04-30 09:14:00,6
2019-04-30 09:15:00,1
2019-04-30 09:19:00,1
2019-04-30 09:22:00,19
2019-04-30 09:23:00,36
2019-04-30 09:24:00,30
2019-04-30 09:25:00,6
2019-04-30 09:27:00,2
2019-04-30 09:28:00,4
2019-04-30 09:32:00,1
2019-04-30 09:33:00,10
2019-04-30 09:38:00,5
2019-04-30 09:39:00,8
2019-04-30 09:40:00,3
2019-04-30 09:42:00,1
2019-04-30 09:43:00,2
2019-04-30 09:44:00,6
2019-04-30 09:45:00,5
2019-04-30 09:46:00,8
2019-04-30 09:47:00,6
2019-04-30 09:48:00,5
2019-04-30 10:00:00,1
2019-04-30 10:04:00,1
2019-04-30 10:08:00,1
2019-04-30 10:10:00,1
2019-04-30 12:05:00,1
2019-04-30 12:07:00,1
2019-04-30 12:10:00,4
2019-04-30 12:11:00,7
2019-04-30 12:17:00,1
2019-04-30 12:20:00,2
2019-04-30 12:21:00,1
2019-04-30 12:22:00,1
2019-04-30 12:23:00,1
2019-04-30 12:25:00,2
2019-04-30 12:26:00,2
2019-04-30 12:28:00,6
2019-04-30 12:29:00,5
2019-04-30 12:31:00,2
2019-04-30 12:32:00,2
2019-04-30 12:34:00,9
2019-04-30 12:35:00,4
2019-04-30 12:36:00,2
2019-04-30 13:52:00,1
2019-04-30 13:54:00,1
2019-04-30 13:55:00,1
2019-04-30 13:56:00,3
2019-04-30 13:57:00,3
2019-04-30 13:58:00,4
2019-04-30 14:04:00,1
2019-04-30 14:06:00,2
2019-04-30 14:19:00,5
2019-04-30 14:21:00,4
2019-04-30 14:22:00,1
2019-04-30 14:28:00,3
2019-04-30 14:29:00,2
2019-04-30 14:30:00,1
2019-04-30 14:34:00,3
2019-04-30 14:35:00,4
2019-04-30 14:36:00,1
2019-04-30 14:39:00,3
