545,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-30 12:33:00,9
2019-04-30 12:34:00,24
2019-04-30 12:36:00,17
2019-04-30 12:37:00,8
2019-04-30 12:42:00,48
2019-04-30 12:43:00,4
2019-04-30 12:44:00,40
2019-04-30 12:45:00,7
2019-04-30 12:49:00,9
2019-04-30 12:50:00,13
2019-04-30 12:55:00,20
2019-04-30 12:56:00,27
2019-04-30 12:59:00,5
2019-04-30 13:00:00,7
2019-04-30 13:06:00,149
2019-04-30 13:07:00,13
2019-04-30 13:10:00,14
2019-04-30 13:12:00,13
2019-04-30 13:13:00,11
2019-04-30 13:16:00,6
2019-04-30 13:20:00,18
2019-04-30 13:21:00,18
2019-04-30 13:23:00,24
2019-04-30 13:25:00,9
2019-04-30 13:26:00,9
2019-04-30 13:28:00,9
2019-04-30 13:31:00,10
2019-04-30 13:43:00,4
