254,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-04-30 01:00:00,4
2019-04-30 01:01:00,12
2019-04-30 01:02:00,8
2019-04-30 01:03:00,8
2019-04-30 01:04:00,4
2019-04-30 01:05:00,12
2019-04-30 01:06:00,14
2019-04-30 01:07:00,12
2019-04-30 01:08:00,8
2019-04-30 01:09:00,12
2019-04-30 01:10:00,8
2019-04-30 01:11:00,8
2019-04-30 01:12:00,8
2019-04-30 18:00:00,6
2019-04-30 18:01:00,2
2019-04-30 18:02:00,4
2019-04-30 18:03:00,12
2019-04-30 18:04:00,15
2019-04-30 18:05:00,15
2019-04-30 18:06:00,16
2019-04-30 18:07:00,12
2019-04-30 18:08:00,12
2019-04-30 18:09:00,18
2019-04-30 18:10:00,12
2019-04-30 18:11:00,12
