42,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-30 13:53:00,1
2019-04-30 14:01:00,1
2019-04-30 14:30:00,1
2019-04-30 14:50:00,1
2019-04-30 14:59:00,1
2019-04-30 15:02:00,1
2019-04-30 15:05:00,1
2019-04-30 15:10:00,1
2019-04-30 15:13:00,1
2019-04-30 15:16:00,1
2019-04-30 15:18:00,1
2019-04-30 15:20:00,1
2019-04-30 15:22:00,1
2019-04-30 15:24:00,1
2019-04-30 15:26:00,1
2019-04-30 16:43:00,1
2019-04-30 17:20:00,1
2019-04-30 17:22:00,1
2019-04-30 17:26:00,1
2019-04-30 17:34:00,1
2019-04-30 17:39:00,1
2019-04-30 17:41:00,1
2019-04-30 17:44:00,1
2019-04-30 17:46:00,1
2019-04-30 17:49:00,1
2019-04-30 17:52:00,1
2019-04-30 17:54:00,1
2019-04-30 17:55:00,1
2019-04-30 17:56:00,1
2019-04-30 18:01:00,1
2019-04-30 18:49:00,1
2019-04-30 19:01:00,1
2019-04-30 19:07:00,1
2019-04-30 19:13:00,1
2019-04-30 19:17:00,1
2019-04-30 19:22:00,1
2019-04-30 19:44:00,1
2019-04-30 19:49:00,1
2019-04-30 19:56:00,1
2019-04-30 19:57:00,1
2019-04-30 20:11:00,1
2019-04-30 20:13:00,1
