5,"SELECT TOP #  p.ra, p.dec, p.g, p.r, p.i, p.z FROM PhotoObj AS p WHERE   p.dec BETWEEN # AND #  AND p.ra BETWEEN # AND #"
2019-05-17 17:24:00,1
2019-05-17 17:25:00,2
2019-05-17 18:51:00,1
2019-05-17 18:53:00,1
