78,select * from Photoz2 where objid=#
2019-05-17 11:11:00,3
2019-05-17 11:12:00,3
2019-05-17 11:13:00,3
2019-05-17 11:14:00,2
2019-05-17 11:15:00,3
2019-05-17 11:16:00,3
2019-05-17 11:17:00,3
2019-05-17 11:18:00,3
2019-05-17 11:19:00,2
2019-05-17 11:20:00,3
2019-05-17 11:21:00,3
2019-05-17 11:22:00,3
2019-05-17 11:23:00,3
2019-05-17 11:24:00,2
2019-05-17 11:25:00,3
2019-05-17 11:26:00,3
2019-05-17 11:27:00,3
2019-05-17 11:28:00,3
2019-05-17 11:29:00,2
2019-05-17 11:30:00,3
2019-05-17 11:31:00,3
2019-05-17 11:32:00,3
2019-05-17 11:33:00,3
2019-05-17 11:34:00,2
2019-05-17 11:35:00,3
2019-05-17 11:36:00,3
2019-05-17 12:01:00,1
2019-05-17 14:09:00,1
2019-05-17 14:23:00,1
2019-05-17 16:37:00,1
2019-05-17 18:21:00,1
