2990,UPDATE FramePathProcessing
2019-05-17 11:20:00,10
2019-05-17 11:21:00,2
2019-05-17 11:24:00,13
2019-05-17 11:25:00,23
2019-05-17 11:26:00,24
2019-05-17 11:27:00,4
2019-05-17 11:28:00,7
2019-05-17 11:30:00,23
2019-05-17 11:31:00,20
2019-05-17 11:32:00,11
2019-05-17 11:33:00,2
2019-05-17 11:35:00,9
2019-05-17 11:36:00,24
2019-05-17 11:37:00,24
2019-05-17 11:38:00,11
2019-05-17 11:39:00,5
2019-05-17 11:40:00,22
2019-05-17 11:41:00,9
2019-05-17 11:43:00,1
2019-05-17 11:44:00,26
2019-05-17 11:45:00,27
2019-05-17 11:46:00,26
2019-05-17 11:47:00,1
2019-05-17 11:52:00,10
2019-05-17 11:53:00,27
2019-05-17 11:54:00,13
2019-05-17 11:55:00,12
2019-05-17 11:56:00,23
2019-05-17 11:57:00,24
2019-05-17 11:58:00,22
2019-05-17 11:59:00,24
2019-05-17 12:00:00,22
2019-05-17 12:01:00,22
2019-05-17 12:02:00,23
2019-05-17 12:03:00,24
2019-05-17 12:04:00,22
2019-05-17 12:05:00,23
2019-05-17 12:06:00,23
2019-05-17 12:07:00,23
2019-05-17 12:08:00,22
2019-05-17 12:09:00,23
2019-05-17 12:10:00,24
2019-05-17 12:11:00,22
2019-05-17 12:12:00,22
2019-05-17 12:13:00,23
2019-05-17 12:14:00,8
2019-05-17 12:15:00,24
2019-05-17 12:16:00,8
2019-05-17 12:17:00,23
2019-05-17 12:18:00,23
2019-05-17 12:19:00,23
2019-05-17 12:20:00,20
2019-05-17 12:21:00,13
2019-05-17 12:22:00,23
2019-05-17 12:23:00,22
2019-05-17 12:24:00,10
2019-05-17 12:25:00,22
2019-05-17 12:26:00,18
2019-05-17 12:27:00,13
2019-05-17 12:28:00,22
2019-05-17 12:29:00,21
2019-05-17 12:30:00,23
2019-05-17 12:31:00,23
2019-05-17 12:32:00,22
2019-05-17 12:33:00,23
2019-05-17 12:34:00,22
2019-05-17 12:35:00,23
2019-05-17 12:36:00,22
2019-05-17 12:37:00,23
2019-05-17 12:38:00,22
2019-05-17 12:39:00,23
2019-05-17 12:40:00,23
2019-05-17 12:41:00,23
2019-05-17 12:42:00,23
2019-05-17 12:43:00,23
2019-05-17 12:44:00,22
2019-05-17 12:45:00,23
2019-05-17 12:46:00,22
2019-05-17 12:47:00,23
2019-05-17 12:48:00,23
2019-05-17 12:49:00,23
2019-05-17 12:50:00,23
2019-05-17 12:51:00,23
2019-05-17 12:52:00,23
2019-05-17 12:53:00,23
2019-05-17 12:54:00,23
2019-05-17 12:55:00,23
2019-05-17 12:56:00,23
2019-05-17 12:57:00,23
2019-05-17 12:58:00,23
2019-05-17 12:59:00,23
2019-05-17 13:00:00,16
2019-05-17 13:01:00,14
2019-05-17 13:02:00,23
2019-05-17 13:03:00,21
2019-05-17 13:04:00,23
2019-05-17 13:05:00,23
2019-05-17 13:06:00,23
2019-05-17 13:07:00,22
2019-05-17 13:08:00,21
2019-05-17 13:09:00,23
2019-05-17 13:10:00,23
2019-05-17 13:11:00,22
2019-05-17 13:12:00,23
2019-05-17 13:13:00,1
2019-05-17 13:31:00,22
2019-05-17 13:32:00,22
2019-05-17 13:33:00,23
2019-05-17 13:34:00,23
2019-05-17 13:35:00,23
2019-05-17 13:36:00,23
2019-05-17 13:37:00,22
2019-05-17 13:38:00,23
2019-05-17 13:39:00,23
2019-05-17 13:40:00,22
2019-05-17 13:41:00,23
2019-05-17 13:42:00,23
2019-05-17 13:43:00,23
2019-05-17 13:44:00,23
2019-05-17 13:45:00,22
2019-05-17 13:46:00,23
2019-05-17 13:47:00,23
2019-05-17 13:48:00,24
2019-05-17 13:49:00,23
2019-05-17 13:50:00,24
2019-05-17 13:51:00,23
2019-05-17 13:52:00,24
2019-05-17 13:53:00,23
2019-05-17 13:54:00,21
2019-05-17 13:55:00,24
2019-05-17 13:56:00,24
2019-05-17 13:57:00,23
2019-05-17 13:58:00,24
2019-05-17 13:59:00,23
2019-05-17 14:00:00,22
2019-05-17 14:01:00,24
2019-05-17 14:02:00,24
2019-05-17 14:03:00,24
2019-05-17 14:04:00,24
2019-05-17 14:05:00,23
2019-05-17 14:06:00,24
2019-05-17 14:07:00,24
2019-05-17 14:08:00,24
2019-05-17 14:09:00,6
2019-05-17 14:10:00,12
2019-05-17 14:11:00,22
2019-05-17 14:12:00,7
2019-05-17 14:21:00,4
2019-05-17 14:22:00,8
