2,"SELECT TOP # nsaid, ra, dec, z, (#*z/#) as Dist, elpetro_absmag_g as g, elpetro_absmag_r as r, elpetro_th5#_g as g_radius, elpetro_th5#_r as r_radius, elpetro_mets as Metallicity, elpetro_mass as Mass FROM nsatlas"
2019-05-17 13:33:00,1
2019-05-17 13:42:00,1
