528,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-17 12:30:00,21
2019-05-17 12:31:00,34
2019-05-17 12:32:00,58
2019-05-17 12:33:00,13
2019-05-17 12:34:00,28
2019-05-17 12:35:00,10
2019-05-17 12:36:00,17
2019-05-17 12:37:00,23
2019-05-17 12:38:00,16
2019-05-17 12:39:00,17
2019-05-17 12:40:00,35
2019-05-17 12:41:00,4
2019-05-17 12:43:00,47
2019-05-17 12:44:00,32
2019-05-17 12:45:00,36
2019-05-17 12:46:00,27
2019-05-17 12:47:00,53
2019-05-17 12:49:00,8
2019-05-17 12:50:00,49
