1543,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&                         WHERE Path = &&&"
2019-05-17 14:56:00,3
2019-05-17 14:57:00,21
2019-05-17 14:58:00,6
2019-05-17 14:59:00,14
2019-05-17 15:01:00,11
2019-05-17 15:02:00,30
2019-05-17 15:03:00,29
2019-05-17 15:04:00,30
2019-05-17 15:05:00,30
2019-05-17 15:06:00,29
2019-05-17 15:07:00,29
2019-05-17 15:08:00,30
2019-05-17 15:09:00,29
2019-05-17 15:10:00,30
2019-05-17 15:11:00,29
2019-05-17 15:12:00,30
2019-05-17 15:13:00,29
2019-05-17 15:14:00,30
2019-05-17 15:15:00,30
2019-05-17 15:16:00,29
2019-05-17 15:17:00,30
2019-05-17 15:18:00,30
2019-05-17 15:19:00,29
2019-05-17 15:22:00,18
2019-05-17 15:23:00,29
2019-05-17 15:24:00,29
2019-05-17 15:25:00,30
2019-05-17 15:26:00,30
2019-05-17 15:27:00,30
2019-05-17 15:28:00,29
2019-05-17 15:29:00,30
2019-05-17 15:30:00,30
2019-05-17 15:31:00,30
2019-05-17 15:32:00,29
2019-05-17 15:33:00,29
2019-05-17 15:34:00,30
2019-05-17 15:35:00,30
2019-05-17 15:36:00,29
2019-05-17 15:37:00,28
2019-05-17 15:38:00,30
2019-05-17 15:39:00,30
2019-05-17 15:40:00,30
2019-05-17 15:41:00,30
2019-05-17 15:42:00,29
2019-05-17 15:43:00,29
2019-05-17 15:44:00,29
2019-05-17 15:45:00,29
2019-05-17 15:46:00,29
2019-05-17 15:47:00,30
2019-05-17 15:48:00,29
2019-05-17 15:49:00,30
2019-05-17 15:50:00,30
2019-05-17 15:51:00,30
2019-05-17 15:52:00,30
2019-05-17 15:53:00,29
2019-05-17 15:54:00,23
