42777,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId   FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-05-17 07:32:00,66
2019-05-17 07:33:00,328
2019-05-17 07:34:00,120
2019-05-17 07:35:00,319
2019-05-17 07:36:00,266
2019-05-17 07:37:00,339
2019-05-17 07:38:00,271
2019-05-17 07:39:00,335
2019-05-17 07:40:00,263
2019-05-17 07:41:00,331
2019-05-17 07:42:00,261
2019-05-17 07:43:00,260
2019-05-17 07:44:00,296
2019-05-17 07:45:00,271
2019-05-17 07:46:00,336
2019-05-17 07:47:00,268
2019-05-17 07:48:00,340
2019-05-17 07:49:00,265
2019-05-17 07:50:00,262
2019-05-17 07:51:00,316
2019-05-17 07:52:00,270
2019-05-17 07:53:00,335
2019-05-17 07:54:00,263
2019-05-17 07:55:00,295
2019-05-17 07:56:00,299
2019-05-17 07:57:00,268
2019-05-17 07:58:00,341
2019-05-17 07:59:00,247
2019-05-17 08:00:00,337
2019-05-17 08:01:00,255
2019-05-17 08:07:00,253
2019-05-17 08:08:00,248
2019-05-17 08:09:00,256
2019-05-17 08:18:00,176
2019-05-17 08:19:00,277
2019-05-17 08:20:00,275
2019-05-17 08:21:00,265
2019-05-17 08:22:00,233
2019-05-17 08:23:00,271
2019-05-17 08:24:00,266
2019-05-17 08:25:00,270
2019-05-17 08:26:00,261
2019-05-17 08:27:00,335
2019-05-17 08:28:00,268
2019-05-17 08:29:00,288
2019-05-17 08:30:00,304
2019-05-17 08:31:00,261
2019-05-17 08:32:00,320
2019-05-17 08:33:00,256
2019-05-17 08:34:00,267
2019-05-17 08:35:00,332
2019-05-17 08:36:00,266
2019-05-17 08:37:00,245
2019-05-17 08:38:00,320
2019-05-17 08:39:00,262
2019-05-17 08:40:00,306
2019-05-17 08:41:00,256
2019-05-17 08:42:00,320
2019-05-17 08:43:00,253
2019-05-17 08:44:00,328
2019-05-17 08:45:00,251
2019-05-17 08:46:00,287
2019-05-17 08:47:00,287
2019-05-17 08:48:00,267
2019-05-17 08:49:00,283
2019-05-17 08:50:00,259
2019-05-17 08:51:00,328
2019-05-17 08:52:00,277
2019-05-17 08:53:00,277
2019-05-17 08:54:00,229
2019-05-17 08:55:00,278
2019-05-17 08:56:00,278
2019-05-17 08:57:00,221
2019-05-17 08:58:00,268
2019-05-17 08:59:00,265
2019-05-17 09:00:00,259
2019-05-17 09:01:00,219
2019-05-17 09:02:00,272
2019-05-17 09:03:00,267
2019-05-17 09:04:00,234
2019-05-17 09:05:00,309
2019-05-17 09:06:00,270
2019-05-17 09:07:00,271
2019-05-17 09:08:00,274
2019-05-17 09:09:00,273
2019-05-17 09:10:00,222
2019-05-17 09:11:00,269
2019-05-17 09:12:00,254
2019-05-17 09:13:00,308
2019-05-17 09:14:00,260
2019-05-17 09:15:00,327
2019-05-17 09:16:00,260
2019-05-17 09:17:00,323
2019-05-17 09:18:00,264
2019-05-17 09:19:00,330
2019-05-17 09:20:00,261
2019-05-17 09:21:00,326
2019-05-17 09:22:00,260
2019-05-17 09:23:00,328
2019-05-17 09:24:00,259
2019-05-17 09:25:00,330
2019-05-17 09:26:00,248
2019-05-17 09:27:00,333
2019-05-17 09:28:00,264
2019-05-17 09:29:00,309
2019-05-17 09:30:00,252
2019-05-17 09:31:00,327
2019-05-17 09:32:00,257
2019-05-17 09:33:00,329
2019-05-17 09:34:00,250
2019-05-17 09:35:00,333
2019-05-17 09:36:00,250
2019-05-17 09:37:00,329
2019-05-17 09:38:00,252
2019-05-17 09:39:00,301
2019-05-17 09:40:00,281
2019-05-17 09:41:00,268
2019-05-17 09:42:00,314
2019-05-17 09:43:00,266
2019-05-17 09:44:00,324
2019-05-17 09:45:00,259
2019-05-17 09:46:00,262
2019-05-17 09:47:00,262
2019-05-17 09:48:00,256
2019-05-17 09:49:00,319
2019-05-17 09:50:00,243
2019-05-17 09:51:00,261
2019-05-17 09:52:00,267
2019-05-17 09:53:00,266
2019-05-17 09:54:00,250
2019-05-17 09:55:00,268
2019-05-17 09:56:00,259
2019-05-17 09:57:00,250
2019-05-17 09:58:00,329
2019-05-17 09:59:00,252
2019-05-17 10:00:00,323
2019-05-17 10:01:00,251
2019-05-17 10:02:00,296
2019-05-17 10:03:00,276
2019-05-17 10:04:00,253
2019-05-17 10:05:00,325
2019-05-17 10:06:00,246
2019-05-17 10:07:00,314
2019-05-17 10:08:00,253
2019-05-17 10:09:00,318
2019-05-17 10:10:00,256
2019-05-17 10:11:00,315
2019-05-17 10:12:00,259
2019-05-17 10:13:00,266
2019-05-17 10:14:00,254
2019-05-17 10:15:00,250
2019-05-17 10:16:00,275
2019-05-17 10:17:00,231
2019-05-17 10:18:00,275
2019-05-17 10:19:00,23
2019-05-17 11:58:00,6
2019-05-17 12:00:00,51
2019-05-17 12:03:00,6
2019-05-17 12:14:00,1
2019-05-17 12:16:00,1
2019-05-17 13:08:00,6
2019-05-17 13:46:00,1
2019-05-17 14:12:00,1
2019-05-17 14:24:00,1
2019-05-17 14:30:00,1
2019-05-17 14:33:00,1
2019-05-17 14:35:00,1
2019-05-17 14:42:00,1
2019-05-17 14:53:00,1
2019-05-17 17:03:00,4
