1348,select objID from PhotoObjAll where field=#;
2019-12-30 14:39:00,2
2019-12-30 14:44:00,7
2019-12-30 14:45:00,260
2019-12-30 14:46:00,186
2019-12-30 14:47:00,49
2019-12-30 14:48:00,82
2019-12-30 14:49:00,114
2019-12-30 14:50:00,88
2019-12-30 14:51:00,85
2019-12-30 14:52:00,8
2019-12-30 14:53:00,75
2019-12-30 14:54:00,1
2019-12-30 14:55:00,62
2019-12-30 14:56:00,70
2019-12-30 14:57:00,128
2019-12-30 14:58:00,1
2019-12-30 14:59:00,1
2019-12-30 15:00:00,2
2019-12-30 15:18:00,1
2019-12-30 15:19:00,38
2019-12-30 15:20:00,15
2019-12-30 15:21:00,8
2019-12-30 15:22:00,2
2019-12-30 15:23:00,23
2019-12-30 15:24:00,40
