151,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-12-30 06:01:00,2
2019-12-30 06:02:00,3
2019-12-30 06:03:00,4
2019-12-30 06:04:00,4
2019-12-30 06:05:00,4
2019-12-30 06:06:00,3
2019-12-30 06:07:00,4
2019-12-30 06:08:00,3
2019-12-30 06:09:00,3
2019-12-30 06:15:00,2
2019-12-30 06:16:00,3
2019-12-30 06:17:00,4
2019-12-30 06:18:00,3
2019-12-30 06:19:00,4
2019-12-30 06:20:00,4
2019-12-30 06:21:00,3
2019-12-30 06:22:00,4
2019-12-30 06:23:00,3
2019-12-30 06:25:00,1
2019-12-30 06:26:00,3
2019-12-30 06:27:00,2
2019-12-30 06:28:00,3
2019-12-30 06:29:00,3
2019-12-30 06:30:00,2
2019-12-30 06:31:00,3
2019-12-30 06:32:00,3
2019-12-30 06:33:00,3
2019-12-30 06:34:00,3
2019-12-30 06:35:00,3
2019-12-30 06:36:00,3
2019-12-30 06:37:00,4
2019-12-30 06:38:00,3
2019-12-30 06:39:00,3
2019-12-30 06:40:00,3
2019-12-30 06:41:00,3
2019-12-30 06:42:00,3
2019-12-30 06:43:00,3
2019-12-30 06:44:00,3
2019-12-30 06:45:00,3
2019-12-30 06:48:00,1
2019-12-30 06:53:00,2
2019-12-30 06:54:00,4
2019-12-30 06:55:00,3
2019-12-30 06:56:00,3
2019-12-30 06:57:00,3
2019-12-30 06:58:00,3
2019-12-30 06:59:00,4
2019-12-30 07:00:00,3
2019-12-30 07:01:00,3
2019-12-30 07:02:00,2
