2,"SELECT g.ra,g.dec into mydb.DR7pos2 from GalaxyTag as g WHERE g.ra between # and # AND g.type = # AND g.modelmag_r < # AND g.insidemask = #"
2019-12-30 08:42:00,1
2019-12-30 08:49:00,1
