38,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-12-30 00:55:00,1
2019-12-30 00:57:00,1
2019-12-30 01:00:00,2
2019-12-30 01:03:00,1
2019-12-30 01:06:00,2
2019-12-30 01:10:00,1
2019-12-30 01:11:00,1
2019-12-30 01:13:00,1
2019-12-30 01:16:00,1
2019-12-30 01:19:00,1
2019-12-30 01:20:00,1
2019-12-30 01:23:00,1
2019-12-30 01:25:00,2
2019-12-30 01:28:00,1
2019-12-30 01:30:00,1
2019-12-30 01:33:00,1
2019-12-30 01:35:00,1
2019-12-30 01:37:00,1
2019-12-30 01:39:00,1
2019-12-30 01:40:00,1
2019-12-30 01:42:00,1
2019-12-30 06:53:00,1
2019-12-30 06:55:00,1
2019-12-30 07:03:00,1
2019-12-30 07:04:00,1
2019-12-30 07:05:00,1
2019-12-30 07:06:00,1
2019-12-30 07:13:00,1
2019-12-30 07:14:00,1
2019-12-30 07:15:00,1
2019-12-30 07:17:00,1
2019-12-30 07:19:00,1
2019-12-30 07:39:00,1
2019-12-30 07:48:00,1
2019-12-30 07:50:00,1
