375,select * from Photoz where objid=#
2019-12-30 00:01:00,5
2019-12-30 00:02:00,7
2019-12-30 00:19:00,1
2019-12-30 00:31:00,1
2019-12-30 00:41:00,9
2019-12-30 01:02:00,1
2019-12-30 01:06:00,1
2019-12-30 01:13:00,1
2019-12-30 01:25:00,10
2019-12-30 02:01:00,9
2019-12-30 02:04:00,3
2019-12-30 02:05:00,5
2019-12-30 02:06:00,5
2019-12-30 02:07:00,4
2019-12-30 02:08:00,5
2019-12-30 02:09:00,5
2019-12-30 02:10:00,4
2019-12-30 02:11:00,2
2019-12-30 02:39:00,11
2019-12-30 03:05:00,1
2019-12-30 03:09:00,1
2019-12-30 03:21:00,5
2019-12-30 03:22:00,1
2019-12-30 03:23:00,1
2019-12-30 03:39:00,1
2019-12-30 03:53:00,1
2019-12-30 04:05:00,7
2019-12-30 04:06:00,2
2019-12-30 04:24:00,1
2019-12-30 04:47:00,4
2019-12-30 05:23:00,1
2019-12-30 05:28:00,9
2019-12-30 05:32:00,1
2019-12-30 05:56:00,1
2019-12-30 06:04:00,1
2019-12-30 06:10:00,10
2019-12-30 06:26:00,1
2019-12-30 06:36:00,1
2019-12-30 06:43:00,1
2019-12-30 06:51:00,4
2019-12-30 07:30:00,17
2019-12-30 07:39:00,1
2019-12-30 07:41:00,1
2019-12-30 07:45:00,1
2019-12-30 08:04:00,1
2019-12-30 08:08:00,9
2019-12-30 08:09:00,1
2019-12-30 08:10:00,2
2019-12-30 08:11:00,1
2019-12-30 08:13:00,1
2019-12-30 08:38:00,1
2019-12-30 08:39:00,2
2019-12-30 08:53:00,1
2019-12-30 08:54:00,1
2019-12-30 08:56:00,10
2019-12-30 09:02:00,1
2019-12-30 09:08:00,1
2019-12-30 09:18:00,1
2019-12-30 09:38:00,7
2019-12-30 09:41:00,1
2019-12-30 10:17:00,1
2019-12-30 10:19:00,6
2019-12-30 10:32:00,1
2019-12-30 10:40:00,1
2019-12-30 10:53:00,10
2019-12-30 11:05:00,1
2019-12-30 11:26:00,1
2019-12-30 11:38:00,10
2019-12-30 12:19:00,11
2019-12-30 12:20:00,1
2019-12-30 12:24:00,1
2019-12-30 12:25:00,1
2019-12-30 12:28:00,1
2019-12-30 12:30:00,3
2019-12-30 12:39:00,1
2019-12-30 12:50:00,1
2019-12-30 13:01:00,2
2019-12-30 13:03:00,1
2019-12-30 13:06:00,1
2019-12-30 13:26:00,1
2019-12-30 13:39:00,4
2019-12-30 14:02:00,1
2019-12-30 14:22:00,1
2019-12-30 14:23:00,8
2019-12-30 14:44:00,2
2019-12-30 15:01:00,10
2019-12-30 15:22:00,1
2019-12-30 15:40:00,1
2019-12-30 15:45:00,5
2019-12-30 15:50:00,1
2019-12-30 15:56:00,1
2019-12-30 16:35:00,1
2019-12-30 16:43:00,1
2019-12-30 16:45:00,1
2019-12-30 16:46:00,2
2019-12-30 16:47:00,12
2019-12-30 16:50:00,2
2019-12-30 17:26:00,1
2019-12-30 17:36:00,1
2019-12-30 18:13:00,1
2019-12-30 19:06:00,1
2019-12-30 19:25:00,1
2019-12-30 19:59:00,1
2019-12-30 20:28:00,1
2019-12-30 20:36:00,1
2019-12-30 20:38:00,1
2019-12-30 20:49:00,1
2019-12-30 21:02:00,1
2019-12-30 21:03:00,1
2019-12-30 21:30:00,1
2019-12-30 21:41:00,1
2019-12-30 22:24:00,1
2019-12-30 22:39:00,1
2019-12-30 22:52:00,1
2019-12-30 22:53:00,2
2019-12-30 22:54:00,4
2019-12-30 22:55:00,23
2019-12-30 22:56:00,2
2019-12-30 23:12:00,1
2019-12-30 23:14:00,3
2019-12-30 23:18:00,1
2019-12-30 23:19:00,2
2019-12-30 23:23:00,1
2019-12-30 23:39:00,1
2019-12-30 23:41:00,1
2019-12-30 23:56:00,1
2019-12-30 23:57:00,1
