36,"SELECT TOP #  p.u,p.g,p.r,p.i,p.z  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = # OR p.type = #)"
2019-07-02 00:00:00,1
2019-07-02 00:07:00,4
2019-07-02 00:09:00,1
2019-07-02 00:11:00,1
2019-07-02 00:13:00,1
2019-07-02 00:15:00,2
2019-07-02 00:16:00,4
2019-07-02 00:17:00,1
2019-07-02 00:18:00,3
2019-07-02 00:19:00,4
2019-07-02 00:22:00,1
2019-07-02 00:23:00,3
2019-07-02 00:24:00,1
2019-07-02 06:28:00,2
2019-07-02 06:30:00,1
2019-07-02 07:49:00,2
2019-07-02 07:50:00,3
2019-07-02 07:51:00,1
