2,"SELECT --TOP # p.objid as objid, p.ra, p.dec, p.psfMag_r, p.psfMag_g, p.psfMag_i, p.psfMag_z FROM PhotoObj as p WHERE   p.type = #  AND p.ra > # AND p.ra < #  AND p.dec > # AND p.dec < #"
2019-07-02 15:37:00,1
2019-07-02 16:31:00,1
