958,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-07-02 02:21:00,42
2019-07-02 03:48:00,42
2019-07-02 04:23:00,18
2019-07-02 05:31:00,18
2019-07-02 06:03:00,42
2019-07-02 07:09:00,42
2019-07-02 07:18:00,84
2019-07-02 08:22:00,42
2019-07-02 12:09:00,1
2019-07-02 12:48:00,18
2019-07-02 13:30:00,84
2019-07-02 13:35:00,42
2019-07-02 13:36:00,16
2019-07-02 13:37:00,2
2019-07-02 14:51:00,84
2019-07-02 15:30:00,42
2019-07-02 16:09:00,42
2019-07-02 16:19:00,1
2019-07-02 16:31:00,48
2019-07-02 18:50:00,1
2019-07-02 20:05:00,42
2019-07-02 20:19:00,42
2019-07-02 20:21:00,18
2019-07-02 20:36:00,42
2019-07-02 20:41:00,42
2019-07-02 20:46:00,1
2019-07-02 23:42:00,42
2019-07-02 23:43:00,18
