5,"SELECT DISTINCT p.objid, p.type, p.mode, p.ra, p.dec FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-07-02 21:42:00,2
2019-07-02 21:43:00,2
2019-07-02 21:44:00,1
