873,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-07-02 07:35:00,7
2019-07-02 07:36:00,11
2019-07-02 07:37:00,8
2019-07-02 07:38:00,6
2019-07-02 07:39:00,8
2019-07-02 07:40:00,16
2019-07-02 07:41:00,15
2019-07-02 07:42:00,7
2019-07-02 07:43:00,20
2019-07-02 07:44:00,17
2019-07-02 07:45:00,12
2019-07-02 07:46:00,9
2019-07-02 07:47:00,15
2019-07-02 07:48:00,27
2019-07-02 07:49:00,27
2019-07-02 07:50:00,26
2019-07-02 07:51:00,14
2019-07-02 07:52:00,28
2019-07-02 07:53:00,17
2019-07-02 07:54:00,16
2019-07-02 07:55:00,15
2019-07-02 07:57:00,12
2019-07-02 07:58:00,25
2019-07-02 07:59:00,11
2019-07-02 08:00:00,8
2019-07-02 08:01:00,19
2019-07-02 08:02:00,21
2019-07-02 08:03:00,20
2019-07-02 08:04:00,5
2019-07-02 08:05:00,13
2019-07-02 08:06:00,31
2019-07-02 08:07:00,36
2019-07-02 08:08:00,35
2019-07-02 08:09:00,5
2019-07-02 08:10:00,9
2019-07-02 08:11:00,24
2019-07-02 08:12:00,29
2019-07-02 08:13:00,35
2019-07-02 08:14:00,23
2019-07-02 08:15:00,28
2019-07-02 08:16:00,10
2019-07-02 09:01:00,1
2019-07-02 09:02:00,1
2019-07-02 09:03:00,1
2019-07-02 09:04:00,1
2019-07-02 09:05:00,16
2019-07-02 09:06:00,1
2019-07-02 09:07:00,1
2019-07-02 09:08:00,1
2019-07-02 09:09:00,1
2019-07-02 09:10:00,2
2019-07-02 09:11:00,1
2019-07-02 09:12:00,1
2019-07-02 09:13:00,1
2019-07-02 09:14:00,1
2019-07-02 09:15:00,1
2019-07-02 09:16:00,1
2019-07-02 09:17:00,1
2019-07-02 09:18:00,1
2019-07-02 10:02:00,1
2019-07-02 10:03:00,1
2019-07-02 10:04:00,2
2019-07-02 10:05:00,5
2019-07-02 10:06:00,22
2019-07-02 10:07:00,1
2019-07-02 10:08:00,1
2019-07-02 10:09:00,1
2019-07-02 10:10:00,1
2019-07-02 10:11:00,1
2019-07-02 10:12:00,1
2019-07-02 10:13:00,1
2019-07-02 10:14:00,1
2019-07-02 10:15:00,1
2019-07-02 10:17:00,1
2019-07-02 10:18:00,1
2019-07-02 10:19:00,1
2019-07-02 10:20:00,1
2019-07-02 10:21:00,1
2019-07-02 10:22:00,1
2019-07-02 10:23:00,1
2019-07-02 10:24:00,1
2019-07-02 10:25:00,1
2019-07-02 10:26:00,1
2019-07-02 10:27:00,1
2019-07-02 10:28:00,1
2019-07-02 10:29:00,1
2019-07-02 10:30:00,1
2019-07-02 10:31:00,1
2019-07-02 10:32:00,1
2019-07-02 10:33:00,1
2019-07-02 10:34:00,1
2019-07-02 10:35:00,1
2019-07-02 10:36:00,1
2019-07-02 10:37:00,1
2019-07-02 11:31:00,1
2019-07-02 11:32:00,1
2019-07-02 11:33:00,1
2019-07-02 14:01:00,1
2019-07-02 14:31:00,1
2019-07-02 14:33:00,2
2019-07-02 14:34:00,1
2019-07-02 14:35:00,7
2019-07-02 14:36:00,1
2019-07-02 14:37:00,1
2019-07-02 14:39:00,1
2019-07-02 14:40:00,1
2019-07-02 14:41:00,1
2019-07-02 15:01:00,1
2019-07-02 15:02:00,1
2019-07-02 15:03:00,1
2019-07-02 15:04:00,1
2019-07-02 15:05:00,10
2019-07-02 15:06:00,1
2019-07-02 15:07:00,1
2019-07-02 15:09:00,1
2019-07-02 15:10:00,1
2019-07-02 15:11:00,1
2019-07-02 15:12:00,1
2019-07-02 15:13:00,1
2019-07-02 15:14:00,1
2019-07-02 16:01:00,1
2019-07-02 16:02:00,1
2019-07-02 16:03:00,2
2019-07-02 16:04:00,1
2019-07-02 16:05:00,5
2019-07-02 16:06:00,1
2019-07-02 16:07:00,1
2019-07-02 16:08:00,1
2019-07-02 17:31:00,1
2019-07-02 21:01:00,1
2019-07-02 23:31:00,1
