33,"SELECT TOP # p.objId,p.ra,p.dec,p.petror9#_r, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, s.z as z_spec, s.zErr   FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND #"
2019-02-07 14:46:00,1
2019-02-07 14:47:00,1
2019-02-07 16:57:00,1
2019-02-07 17:00:00,1
2019-02-07 17:01:00,1
2019-02-07 17:07:00,1
2019-02-07 17:11:00,1
2019-02-07 17:12:00,3
2019-02-07 17:14:00,1
2019-02-07 17:15:00,4
2019-02-07 17:17:00,2
2019-02-07 17:18:00,4
2019-02-07 17:19:00,1
2019-02-07 17:20:00,3
2019-02-07 17:21:00,2
2019-02-07 17:22:00,1
2019-02-07 17:23:00,2
2019-02-07 17:24:00,1
2019-02-07 17:25:00,1
2019-02-07 17:26:00,1
