13146,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-02-07 00:03:00,35
2019-02-07 00:04:00,5
2019-02-07 00:05:00,5
2019-02-07 00:06:00,5
2019-02-07 00:14:00,20
2019-02-07 00:15:00,34
2019-02-07 00:16:00,11
2019-02-07 00:18:00,5
2019-02-07 00:19:00,15
2019-02-07 00:20:00,5
2019-02-07 00:27:00,50
2019-02-07 00:28:00,10
2019-02-07 00:29:00,5
2019-02-07 00:30:00,7
2019-02-07 00:31:00,13
2019-02-07 00:33:00,25
2019-02-07 00:34:00,10
2019-02-07 00:35:00,10
2019-02-07 00:37:00,5
2019-02-07 00:38:00,5
2019-02-07 00:39:00,15
2019-02-07 00:47:00,39
2019-02-07 00:48:00,11
2019-02-07 00:54:00,1
2019-02-07 00:55:00,49
2019-02-07 00:56:00,10
2019-02-07 01:05:00,19
2019-02-07 01:06:00,31
2019-02-07 01:07:00,5
2019-02-07 01:08:00,20
2019-02-07 01:15:00,44
2019-02-07 01:16:00,6
2019-02-07 01:18:00,25
2019-02-07 01:19:00,10
2019-02-07 01:20:00,10
2019-02-07 01:21:00,5
2019-02-07 01:22:00,10
2019-02-07 01:23:00,7
2019-02-07 01:24:00,13
2019-02-07 01:25:00,5
2019-02-07 01:26:00,10
2019-02-07 01:27:00,10
2019-02-07 01:35:00,50
2019-02-07 01:36:00,5
2019-02-07 01:37:00,5
2019-02-07 01:46:00,42
2019-02-07 01:47:00,13
2019-02-07 01:49:00,10
2019-02-07 01:50:00,10
2019-02-07 01:57:00,50
2019-02-07 01:59:00,15
2019-02-07 02:00:00,15
2019-02-07 02:01:00,5
2019-02-07 02:03:00,25
2019-02-07 02:04:00,10
2019-02-07 02:12:00,50
2019-02-07 02:13:00,8
2019-02-07 02:14:00,2
2019-02-07 02:20:00,16
2019-02-07 02:21:00,34
2019-02-07 02:22:00,10
2019-02-07 02:23:00,5
2019-02-07 02:24:00,15
2019-02-07 02:25:00,5
2019-02-07 02:31:00,50
2019-02-07 02:32:00,10
2019-02-07 02:33:00,5
2019-02-07 02:40:00,39
2019-02-07 02:41:00,11
2019-02-07 02:48:00,50
2019-02-07 02:50:00,20
2019-02-07 02:52:00,3
2019-02-07 02:53:00,27
2019-02-07 02:54:00,5
2019-02-07 02:55:00,7
2019-02-07 02:56:00,18
2019-02-07 02:57:00,10
2019-02-07 03:07:00,50
2019-02-07 03:08:00,5
2019-02-07 03:09:00,15
2019-02-07 03:10:00,10
2019-02-07 03:11:00,10
2019-02-07 03:15:00,13
2019-02-07 03:16:00,12
2019-02-07 03:23:00,45
2019-02-07 03:24:00,5
2019-02-07 03:28:00,17
2019-02-07 03:29:00,10
2019-02-07 03:35:00,22
2019-02-07 03:36:00,30
2019-02-07 03:37:00,9
2019-02-07 03:38:00,14
2019-02-07 03:46:00,50
2019-02-07 03:47:00,5
2019-02-07 03:48:00,5
2019-02-07 03:55:00,40
2019-02-07 03:57:00,10
2019-02-07 03:58:00,15
2019-02-07 03:59:00,5
2019-02-07 04:00:00,15
2019-02-07 04:01:00,10
2019-02-07 04:03:00,15
2019-02-07 04:09:00,20
2019-02-07 04:10:00,35
2019-02-07 04:11:00,10
2019-02-07 04:12:00,14
2019-02-07 04:13:00,16
2019-02-07 04:14:00,10
2019-02-07 04:15:00,10
2019-02-07 04:22:00,9
2019-02-07 04:23:00,31
2019-02-07 04:24:00,5
2019-02-07 04:25:00,15
2019-02-07 04:26:00,5
2019-02-07 04:27:00,15
2019-02-07 04:28:00,10
2019-02-07 04:36:00,45
2019-02-07 04:37:00,5
2019-02-07 04:38:00,15
2019-02-07 04:39:00,10
2019-02-07 04:40:00,6
2019-02-07 04:41:00,14
2019-02-07 04:42:00,13
2019-02-07 04:43:00,12
2019-02-07 04:45:00,15
2019-02-07 04:51:00,20
2019-02-07 04:52:00,25
2019-02-07 04:59:00,50
2019-02-07 05:00:00,10
2019-02-07 05:02:00,20
2019-02-07 05:03:00,5
2019-02-07 05:04:00,10
2019-02-07 05:07:00,4
2019-02-07 05:08:00,21
2019-02-07 05:09:00,10
2019-02-07 05:10:00,15
2019-02-07 05:11:00,10
2019-02-07 05:12:00,10
2019-02-07 05:14:00,20
2019-02-07 05:21:00,4
2019-02-07 05:22:00,36
2019-02-07 05:27:00,30
2019-02-07 05:28:00,20
2019-02-07 05:29:00,10
2019-02-07 05:30:00,15
2019-02-07 05:31:00,4
2019-02-07 05:32:00,16
2019-02-07 05:41:00,10
2019-02-07 05:42:00,40
2019-02-07 05:43:00,5
2019-02-07 05:51:00,50
2019-02-07 05:52:00,4
2019-02-07 05:53:00,13
2019-02-07 05:54:00,13
2019-02-07 05:55:00,5
2019-02-07 05:56:00,5
2019-02-07 06:02:00,12
2019-02-07 06:03:00,38
2019-02-07 06:08:00,36
2019-02-07 06:09:00,14
2019-02-07 06:12:00,7
2019-02-07 06:13:00,18
2019-02-07 06:14:00,15
2019-02-07 06:15:00,10
2019-02-07 06:16:00,10
2019-02-07 06:17:00,15
2019-02-07 06:18:00,5
2019-02-07 06:19:00,13
2019-02-07 06:20:00,12
2019-02-07 06:21:00,10
2019-02-07 06:22:00,10
2019-02-07 06:23:00,5
2019-02-07 06:27:00,35
2019-02-07 06:28:00,10
2019-02-07 06:30:00,15
2019-02-07 06:31:00,15
2019-02-07 06:32:00,5
2019-02-07 06:33:00,10
2019-02-07 06:34:00,10
2019-02-07 06:35:00,15
2019-02-07 06:36:00,5
2019-02-07 06:37:00,10
2019-02-07 06:43:00,16
2019-02-07 06:44:00,34
2019-02-07 06:45:00,14
2019-02-07 06:46:00,1
2019-02-07 06:47:00,5
2019-02-07 06:48:00,10
2019-02-07 06:57:00,46
2019-02-07 06:58:00,9
2019-02-07 06:59:00,10
2019-02-07 07:00:00,15
2019-02-07 07:07:00,14
2019-02-07 07:08:00,36
2019-02-07 07:10:00,20
2019-02-07 07:14:00,12
2019-02-07 07:15:00,18
2019-02-07 07:20:00,25
2019-02-07 07:21:00,10
2019-02-07 07:22:00,10
2019-02-07 07:23:00,10
2019-02-07 07:24:00,5
2019-02-07 07:25:00,15
2019-02-07 07:31:00,28
2019-02-07 07:32:00,7
2019-02-07 07:33:00,15
2019-02-07 07:41:00,50
2019-02-07 07:42:00,5
2019-02-07 07:51:00,50
2019-02-07 07:52:00,10
2019-02-07 07:53:00,15
2019-02-07 07:54:00,5
