2,"SELECT dr7objid, ra, dec into mydb.no_spiral_feature_#a from dbo.zoo2MainSpecz WHERE    total_votes > #    and t0#_smooth_or_features_a0#_features_or_disk_fraction >#   and t0#_smooth_or_features_a0#_features_or_disk_weighted_fraction >#   and t0#_smooth_or_features_a0#_features_or_disk_debiased >#   and t0#_edgeon_a0#_no_fraction >#   and t0#_edgeon_a0#_no_weighted_fraction >#   and t0#_edgeon_a0#_no_debiased >#   and t0#_bar_a0#_no_bar_fraction >#   and t0#_bar_a0#_no_bar_weighted_fraction >#   and t0#_bar_a0#_no_bar_debiased >#   and t0#_spiral_a0#_spiral_fraction >#   and t0#_spiral_a0#_spiral_debiased >#"
2019-02-07 05:46:00,1
2019-02-07 05:48:00,1
