146,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-02-07 13:07:00,2
2019-02-07 13:08:00,4
2019-02-07 13:09:00,5
2019-02-07 13:10:00,4
2019-02-07 13:11:00,5
2019-02-07 13:12:00,5
2019-02-07 13:13:00,2
2019-02-07 14:29:00,1
2019-02-07 14:30:00,4
2019-02-07 14:31:00,4
2019-02-07 14:32:00,4
2019-02-07 14:33:00,5
2019-02-07 14:34:00,4
2019-02-07 14:35:00,5
2019-02-07 14:41:00,1
2019-02-07 14:42:00,5
2019-02-07 14:43:00,4
2019-02-07 14:44:00,4
2019-02-07 14:45:00,5
2019-02-07 14:46:00,4
2019-02-07 14:47:00,4
2019-02-07 17:27:00,4
2019-02-07 17:28:00,5
2019-02-07 17:29:00,4
2019-02-07 17:30:00,5
2019-02-07 17:31:00,4
2019-02-07 17:32:00,4
2019-02-07 17:33:00,1
2019-02-07 19:34:00,4
2019-02-07 19:35:00,2
2019-02-07 19:36:00,5
2019-02-07 19:37:00,3
2019-02-07 19:38:00,3
2019-02-07 19:39:00,5
2019-02-07 19:40:00,4
2019-02-07 19:41:00,4
2019-02-07 19:42:00,3
2019-02-07 19:43:00,4
2019-02-07 19:44:00,1
