2771,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-02-07 00:04:00,7
2019-02-07 00:06:00,1
2019-02-07 00:07:00,1
2019-02-07 00:15:00,1
2019-02-07 00:16:00,6
2019-02-07 00:17:00,1
2019-02-07 00:18:00,3
2019-02-07 00:19:00,2
2019-02-07 00:20:00,1
2019-02-07 00:27:00,1
2019-02-07 00:28:00,6
2019-02-07 00:29:00,6
2019-02-07 00:31:00,1
2019-02-07 00:33:00,1
2019-02-07 00:35:00,6
2019-02-07 00:36:00,15
2019-02-07 00:37:00,4
2019-02-07 00:38:00,5
2019-02-07 00:39:00,1
2019-02-07 00:48:00,1
2019-02-07 00:55:00,1
2019-02-07 00:56:00,5
2019-02-07 01:06:00,6
2019-02-07 01:07:00,1
2019-02-07 01:08:00,1
2019-02-07 01:16:00,1
2019-02-07 01:18:00,5
2019-02-07 01:19:00,1
2019-02-07 01:20:00,5
2019-02-07 01:21:00,1
2019-02-07 01:22:00,1
2019-02-07 01:24:00,5
2019-02-07 01:25:00,1
2019-02-07 01:26:00,1
2019-02-07 01:27:00,1
2019-02-07 01:36:00,8
2019-02-07 01:37:00,1
2019-02-07 01:47:00,7
2019-02-07 01:50:00,1
2019-02-07 01:58:00,1
2019-02-07 01:59:00,1
2019-02-07 02:00:00,12
2019-02-07 02:01:00,1
2019-02-07 02:03:00,5
2019-02-07 02:04:00,2
2019-02-07 02:13:00,1
2019-02-07 02:14:00,1
2019-02-07 02:21:00,1
2019-02-07 02:22:00,2
2019-02-07 02:23:00,1
2019-02-07 02:24:00,2
2019-02-07 02:25:00,2
2019-02-07 02:31:00,1
2019-02-07 02:32:00,7
2019-02-07 02:33:00,1
2019-02-07 02:41:00,1
2019-02-07 02:48:00,5
2019-02-07 02:49:00,3
2019-02-07 02:50:00,1
2019-02-07 02:53:00,8
2019-02-07 02:54:00,2
2019-02-07 02:56:00,4
2019-02-07 02:57:00,7
2019-02-07 02:58:00,10
2019-02-07 02:59:00,4
2019-02-07 03:08:00,5
2019-02-07 03:09:00,1
2019-02-07 03:10:00,1
2019-02-07 03:11:00,1
2019-02-07 03:16:00,1
2019-02-07 03:24:00,1
2019-02-07 03:29:00,1
2019-02-07 03:36:00,1
2019-02-07 03:37:00,9
2019-02-07 03:38:00,5
2019-02-07 03:39:00,1
2019-02-07 03:47:00,8
2019-02-07 03:48:00,1
2019-02-07 03:56:00,6
2019-02-07 03:57:00,1
2019-02-07 03:58:00,6
2019-02-07 03:59:00,4
2019-02-07 04:00:00,1
2019-02-07 04:01:00,4
2019-02-07 04:03:00,2
2019-02-07 04:10:00,1
2019-02-07 04:11:00,6
2019-02-07 04:12:00,1
2019-02-07 04:13:00,1
2019-02-07 04:14:00,3
2019-02-07 04:15:00,2
2019-02-07 04:23:00,3
2019-02-07 04:24:00,1
2019-02-07 04:25:00,1
2019-02-07 04:26:00,4
2019-02-07 04:27:00,4
2019-02-07 04:28:00,2
2019-02-07 04:36:00,1
2019-02-07 04:37:00,4
2019-02-07 04:38:00,1
2019-02-07 04:39:00,1
2019-02-07 04:40:00,5
2019-02-07 04:41:00,2
2019-02-07 04:42:00,1
2019-02-07 04:43:00,4
2019-02-07 04:44:00,6
2019-02-07 04:45:00,4
2019-02-07 04:52:00,6
2019-02-07 05:00:00,5
2019-02-07 05:01:00,1
2019-02-07 05:02:00,2
2019-02-07 05:03:00,4
2019-02-07 05:04:00,1
2019-02-07 05:08:00,1
2019-02-07 05:09:00,1
2019-02-07 05:10:00,8
2019-02-07 05:11:00,6
2019-02-07 05:12:00,1
2019-02-07 05:15:00,1
2019-02-07 05:22:00,1
2019-02-07 05:28:00,1
2019-02-07 05:29:00,6
2019-02-07 05:30:00,4
2019-02-07 05:32:00,2
2019-02-07 05:42:00,1
2019-02-07 05:43:00,1
2019-02-07 05:52:00,10
2019-02-07 05:53:00,3
2019-02-07 05:54:00,6
2019-02-07 05:55:00,8
2019-02-07 05:56:00,1
2019-02-07 06:03:00,1
2019-02-07 06:09:00,1
2019-02-07 06:13:00,3
2019-02-07 06:14:00,6
2019-02-07 06:15:00,1
2019-02-07 06:16:00,1
2019-02-07 06:18:00,9
2019-02-07 06:19:00,1
2019-02-07 06:20:00,4
2019-02-07 06:21:00,6
2019-02-07 06:22:00,1
2019-02-07 06:23:00,1
2019-02-07 06:27:00,5
2019-02-07 06:28:00,5
2019-02-07 06:30:00,7
2019-02-07 06:31:00,9
2019-02-07 06:32:00,1
2019-02-07 06:33:00,1
2019-02-07 06:34:00,1
2019-02-07 06:35:00,2
2019-02-07 06:36:00,10
2019-02-07 06:37:00,1
2019-02-07 06:44:00,1
2019-02-07 06:45:00,5
2019-02-07 06:46:00,19
2019-02-07 06:47:00,13
2019-02-07 06:48:00,3
2019-02-07 06:58:00,3
2019-02-07 06:59:00,5
2019-02-07 07:01:00,1
2019-02-07 07:08:00,5
2019-02-07 07:10:00,1
2019-02-07 07:15:00,1
2019-02-07 07:20:00,1
2019-02-07 07:21:00,6
2019-02-07 07:22:00,1
2019-02-07 07:23:00,1
2019-02-07 07:24:00,1
2019-02-07 07:25:00,5
2019-02-07 07:32:00,2
2019-02-07 07:33:00,1
2019-02-07 07:42:00,2
2019-02-07 07:51:00,1
2019-02-07 07:52:00,2
2019-02-07 07:53:00,1
2019-02-07 07:54:00,1
2019-02-07 07:55:00,2
2019-02-07 07:57:00,1
2019-02-07 07:58:00,1
2019-02-07 07:59:00,1
2019-02-07 08:00:00,3
2019-02-07 08:07:00,1
2019-02-07 08:08:00,6
2019-02-07 08:16:00,1
2019-02-07 08:17:00,5
2019-02-07 08:25:00,1
2019-02-07 08:26:00,1
2019-02-07 08:27:00,1
2019-02-07 08:36:00,1
2019-02-07 08:44:00,1
2019-02-07 08:45:00,2
2019-02-07 08:52:00,2
2019-02-07 08:53:00,7
2019-02-07 08:54:00,1
2019-02-07 08:55:00,1
2019-02-07 08:56:00,1
2019-02-07 09:04:00,1
2019-02-07 09:06:00,2
2019-02-07 09:07:00,2
2019-02-07 09:15:00,1
2019-02-07 09:16:00,6
2019-02-07 09:17:00,1
2019-02-07 09:21:00,1
2019-02-07 09:22:00,2
2019-02-07 09:26:00,3
2019-02-07 09:27:00,8
2019-02-07 09:28:00,5
2019-02-07 09:30:00,1
2019-02-07 09:38:00,13
2019-02-07 09:40:00,1
2019-02-07 09:44:00,1
2019-02-07 09:45:00,5
2019-02-07 09:52:00,5
2019-02-07 09:53:00,1
2019-02-07 09:55:00,1
2019-02-07 09:59:00,1
2019-02-07 10:04:00,1
2019-02-07 10:05:00,2
2019-02-07 10:06:00,1
2019-02-07 10:07:00,7
2019-02-07 10:15:00,1
2019-02-07 10:20:00,7
2019-02-07 10:22:00,1
2019-02-07 10:24:00,2
2019-02-07 10:25:00,3
2019-02-07 10:26:00,1
2019-02-07 10:28:00,1
2019-02-07 10:36:00,6
2019-02-07 10:43:00,1
2019-02-07 10:48:00,3
2019-02-07 10:49:00,12
2019-02-07 10:50:00,8
2019-02-07 10:51:00,4
2019-02-07 10:54:00,11
2019-02-07 10:55:00,1
2019-02-07 11:03:00,1
2019-02-07 11:04:00,1
2019-02-07 11:05:00,1
2019-02-07 11:06:00,1
2019-02-07 11:08:00,1
2019-02-07 11:09:00,1
2019-02-07 11:10:00,1
2019-02-07 11:11:00,2
2019-02-07 11:16:00,1
2019-02-07 11:17:00,4
2019-02-07 11:18:00,1
2019-02-07 11:19:00,1
2019-02-07 11:20:00,2
2019-02-07 11:21:00,2
2019-02-07 11:22:00,1
2019-02-07 11:24:00,1
2019-02-07 11:25:00,1
2019-02-07 11:26:00,1
2019-02-07 11:27:00,5
2019-02-07 11:28:00,1
2019-02-07 11:30:00,5
2019-02-07 11:39:00,8
2019-02-07 11:41:00,1
2019-02-07 11:56:00,1
2019-02-07 12:03:00,2
2019-02-07 12:04:00,9
2019-02-07 12:05:00,9
2019-02-07 12:06:00,9
2019-02-07 12:07:00,8
2019-02-07 12:08:00,2
2019-02-07 12:10:00,2
2019-02-07 12:11:00,6
2019-02-07 12:12:00,2
2019-02-07 12:13:00,9
2019-02-07 12:14:00,10
2019-02-07 12:15:00,14
2019-02-07 12:16:00,2
2019-02-07 12:17:00,13
2019-02-07 12:18:00,2
2019-02-07 12:19:00,1
2019-02-07 12:20:00,18
2019-02-07 12:21:00,5
2019-02-07 12:22:00,9
2019-02-07 12:23:00,21
2019-02-07 12:24:00,12
2019-02-07 12:25:00,11
2019-02-07 12:26:00,22
2019-02-07 12:27:00,1
2019-02-07 12:28:00,2
2019-02-07 12:29:00,5
2019-02-07 12:30:00,1
2019-02-07 12:31:00,10
2019-02-07 12:32:00,5
2019-02-07 12:33:00,6
2019-02-07 12:34:00,10
2019-02-07 12:35:00,6
2019-02-07 12:36:00,6
2019-02-07 12:37:00,1
2019-02-07 12:38:00,21
2019-02-07 12:40:00,31
2019-02-07 12:41:00,12
2019-02-07 12:42:00,28
2019-02-07 12:43:00,10
2019-02-07 12:44:00,12
2019-02-07 12:45:00,11
2019-02-07 12:46:00,15
2019-02-07 12:47:00,15
2019-02-07 12:48:00,15
2019-02-07 12:49:00,14
2019-02-07 12:50:00,7
2019-02-07 12:51:00,18
2019-02-07 12:52:00,17
2019-02-07 12:53:00,21
2019-02-07 12:54:00,18
2019-02-07 12:55:00,13
2019-02-07 12:56:00,8
2019-02-07 12:57:00,16
2019-02-07 12:58:00,11
2019-02-07 12:59:00,14
2019-02-07 13:00:00,11
2019-02-07 13:01:00,16
2019-02-07 13:02:00,11
2019-02-07 13:03:00,19
2019-02-07 13:04:00,17
2019-02-07 13:05:00,19
2019-02-07 13:06:00,10
2019-02-07 13:07:00,18
2019-02-07 13:08:00,20
2019-02-07 13:09:00,8
2019-02-07 13:10:00,16
2019-02-07 13:11:00,13
2019-02-07 13:12:00,10
2019-02-07 13:13:00,7
2019-02-07 13:14:00,21
2019-02-07 13:15:00,17
2019-02-07 13:16:00,6
2019-02-07 13:17:00,17
2019-02-07 13:18:00,4
2019-02-07 13:19:00,14
2019-02-07 13:20:00,9
2019-02-07 13:21:00,14
2019-02-07 13:22:00,14
2019-02-07 13:23:00,16
2019-02-07 13:24:00,15
2019-02-07 13:25:00,14
2019-02-07 13:26:00,8
2019-02-07 13:27:00,24
2019-02-07 13:28:00,23
2019-02-07 13:29:00,20
2019-02-07 13:30:00,14
2019-02-07 13:31:00,21
2019-02-07 13:32:00,8
2019-02-07 13:33:00,13
2019-02-07 13:34:00,17
2019-02-07 13:35:00,18
2019-02-07 13:36:00,14
2019-02-07 13:37:00,15
2019-02-07 13:38:00,33
2019-02-07 13:39:00,32
2019-02-07 13:40:00,27
2019-02-07 13:41:00,37
2019-02-07 13:42:00,9
