12,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-02-07 00:48:00,2
2019-02-07 07:45:00,1
2019-02-07 14:09:00,1
2019-02-07 14:21:00,1
2019-02-07 14:32:00,1
2019-02-07 14:35:00,1
2019-02-07 16:15:00,1
2019-02-07 16:16:00,1
2019-02-07 16:17:00,1
2019-02-07 17:36:00,1
2019-02-07 17:39:00,1
