70,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-07 00:38:00,5
2019-02-07 01:17:00,1
2019-02-07 01:18:00,1
2019-02-07 01:19:00,5
2019-02-07 02:54:00,1
2019-02-07 04:35:00,1
2019-02-07 04:36:00,9
2019-02-07 04:37:00,2
2019-02-07 04:38:00,5
2019-02-07 04:39:00,1
2019-02-07 04:40:00,1
2019-02-07 04:53:00,1
2019-02-07 04:58:00,1
2019-02-07 04:59:00,1
2019-02-07 05:01:00,1
2019-02-07 05:04:00,1
2019-02-07 05:06:00,3
2019-02-07 15:42:00,7
2019-02-07 17:22:00,1
2019-02-07 17:23:00,2
2019-02-07 17:31:00,1
2019-02-07 17:32:00,5
2019-02-07 17:56:00,3
2019-02-07 18:06:00,2
2019-02-07 18:17:00,3
2019-02-07 18:18:00,1
2019-02-07 18:26:00,4
2019-02-07 18:27:00,1
