1509,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-02-07 03:47:00,30
2019-02-07 03:48:00,17
2019-02-07 03:49:00,25
2019-02-07 03:50:00,4
2019-02-07 03:51:00,55
2019-02-07 03:52:00,19
2019-02-07 03:53:00,13
2019-02-07 03:54:00,17
2019-02-07 03:55:00,20
2019-02-07 03:56:00,33
2019-02-07 03:57:00,8
2019-02-07 03:58:00,14
2019-02-07 03:59:00,10
2019-02-07 04:00:00,12
2019-02-07 04:01:00,19
2019-02-07 04:02:00,3
2019-02-07 04:03:00,3
2019-02-07 04:04:00,8
2019-02-07 04:05:00,9
2019-02-07 04:06:00,25
2019-02-07 04:07:00,14
2019-02-07 04:08:00,10
2019-02-07 04:09:00,6
2019-02-07 04:10:00,11
2019-02-07 04:11:00,12
2019-02-07 04:12:00,11
2019-02-07 04:13:00,22
2019-02-07 04:14:00,15
2019-02-07 04:15:00,14
2019-02-07 04:16:00,10
2019-02-07 04:17:00,9
2019-02-07 04:18:00,6
2019-02-07 04:19:00,15
2019-02-07 04:20:00,33
2019-02-07 04:21:00,9
2019-02-07 04:22:00,11
2019-02-07 04:23:00,10
2019-02-07 04:24:00,16
2019-02-07 04:25:00,26
2019-02-07 04:26:00,15
2019-02-07 04:27:00,25
2019-02-07 04:28:00,20
2019-02-07 04:29:00,12
2019-02-07 04:30:00,13
2019-02-07 04:31:00,19
2019-02-07 04:32:00,16
2019-02-07 04:33:00,12
2019-02-07 04:34:00,18
2019-02-07 04:35:00,26
2019-02-07 04:36:00,14
2019-02-07 04:37:00,21
2019-02-07 04:38:00,29
2019-02-07 04:39:00,23
2019-02-07 04:40:00,18
2019-02-07 04:41:00,17
2019-02-07 04:42:00,14
2019-02-07 04:43:00,15
2019-02-07 04:44:00,15
2019-02-07 04:45:00,15
2019-02-07 04:46:00,12
2019-02-07 04:47:00,21
2019-02-07 04:48:00,21
2019-02-07 04:49:00,11
2019-02-07 04:50:00,18
2019-02-07 04:51:00,17
2019-02-07 04:52:00,11
2019-02-07 04:53:00,20
2019-02-07 04:54:00,25
2019-02-07 04:55:00,10
2019-02-07 04:56:00,24
2019-02-07 04:57:00,12
2019-02-07 04:58:00,12
2019-02-07 04:59:00,19
2019-02-07 05:00:00,9
2019-02-07 05:01:00,6
2019-02-07 05:02:00,18
2019-02-07 05:03:00,31
2019-02-07 05:04:00,31
2019-02-07 05:05:00,26
2019-02-07 05:06:00,18
2019-02-07 05:07:00,24
2019-02-07 05:08:00,28
2019-02-07 05:09:00,25
2019-02-07 05:10:00,25
2019-02-07 05:11:00,20
2019-02-07 05:12:00,11
2019-02-07 05:13:00,19
2019-02-07 05:14:00,11
2019-02-07 05:15:00,3
2019-02-07 05:16:00,7
2019-02-07 05:17:00,1
2019-02-07 05:18:00,2
