20,"SELECT  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw     FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid    WHERE   h_alpha_eqw between # and #   and oii_#_eqw between # and #   and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #   and sp.modelMag_i-#*log1#(#E+#*sp.z) < #   and gal.petroR9#_i/gal.petroR5#_i > #"
2019-02-07 13:12:00,1
2019-02-07 13:14:00,1
2019-02-07 13:18:00,1
2019-02-07 13:20:00,2
2019-02-07 13:21:00,1
2019-02-07 13:22:00,2
2019-02-07 13:23:00,3
2019-02-07 13:24:00,3
2019-02-07 13:25:00,3
2019-02-07 13:26:00,1
2019-02-07 13:28:00,1
2019-02-07 13:29:00,1
