82,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec  FROM ..SpecObj as s  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  JOIN PhotoObj AS p ON s.bestobjid=p.objid  WHERE (s.class = &&&) AND p.i > # AND p.i < # AND (p.g - p.r) > # AND (p.g - p.r) < # AND s.zWarning = #"
2019-08-22 18:09:00,1
2019-08-22 18:25:00,1
2019-08-22 18:27:00,1
2019-08-22 18:28:00,1
2019-08-22 18:29:00,2
2019-08-22 18:30:00,2
2019-08-22 18:31:00,1
2019-08-22 18:32:00,1
2019-08-22 18:33:00,2
2019-08-22 18:34:00,2
2019-08-22 18:35:00,2
2019-08-22 18:36:00,1
2019-08-22 18:37:00,1
2019-08-22 18:38:00,2
2019-08-22 18:39:00,2
2019-08-22 18:40:00,1
2019-08-22 18:41:00,1
2019-08-22 18:43:00,2
2019-08-22 18:44:00,1
2019-08-22 18:46:00,1
2019-08-22 18:47:00,2
2019-08-22 18:48:00,2
2019-08-22 18:49:00,2
2019-08-22 18:50:00,2
2019-08-22 18:51:00,2
2019-08-22 18:54:00,2
2019-08-22 18:55:00,2
2019-08-22 18:56:00,1
2019-08-22 18:58:00,2
2019-08-22 18:59:00,1
2019-08-22 19:00:00,1
2019-08-22 19:01:00,1
2019-08-22 19:02:00,2
2019-08-22 19:03:00,1
2019-08-22 19:05:00,1
2019-08-22 19:07:00,1
2019-08-22 19:08:00,1
2019-08-22 19:09:00,1
2019-08-22 19:10:00,1
2019-08-22 19:11:00,1
2019-08-22 19:12:00,1
2019-08-22 19:13:00,1
2019-08-22 19:14:00,1
2019-08-22 19:15:00,1
2019-08-22 19:16:00,2
2019-08-22 19:18:00,2
2019-08-22 19:19:00,1
2019-08-22 19:20:00,1
2019-08-22 19:21:00,1
2019-08-22 19:23:00,2
2019-08-22 19:24:00,2
2019-08-22 19:25:00,1
2019-08-22 19:26:00,1
2019-08-22 19:27:00,1
2019-08-22 19:29:00,1
2019-08-22 19:30:00,2
2019-08-22 19:31:00,1
2019-08-22 19:32:00,2
2019-08-22 19:33:00,1
