10,"SELECT   p.objid,p.ra,p.dec,p.g,p.r,  s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #"
2019-08-22 10:21:00,1
2019-08-22 10:27:00,1
2019-08-22 10:28:00,1
2019-08-22 10:31:00,1
2019-08-22 10:46:00,3
2019-08-22 10:48:00,1
2019-08-22 10:57:00,1
2019-08-22 13:54:00,1
