22,select * from PhotozRF where objid=#
2019-08-22 00:14:00,1
2019-08-22 00:15:00,1
2019-08-22 02:09:00,1
2019-08-22 03:46:00,1
2019-08-22 04:06:00,1
2019-08-22 04:48:00,1
2019-08-22 05:01:00,1
2019-08-22 08:34:00,1
2019-08-22 09:09:00,1
2019-08-22 09:15:00,1
2019-08-22 12:21:00,1
2019-08-22 13:19:00,1
2019-08-22 13:21:00,1
2019-08-22 13:50:00,1
2019-08-22 14:22:00,1
2019-08-22 15:32:00,1
2019-08-22 17:20:00,1
2019-08-22 17:52:00,1
2019-08-22 19:01:00,1
2019-08-22 22:08:00,1
2019-08-22 22:15:00,1
2019-08-22 23:12:00,1
