15,"SELECT top # p.ra, p.dec, p.u,p.g,p.r,p.i,p.z, p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, pz.z, pz.zerr FROM fGetNearbyObjEq (#,#,#) n, PhotoObj p, Photoz pz WHERE p.r < # and n.objID=p.objID and pz.objID=p.objID and p.type = #"
2019-08-22 21:14:00,1
2019-08-22 21:27:00,1
2019-08-22 22:49:00,1
2019-08-22 22:50:00,1
2019-08-22 22:53:00,1
2019-08-22 22:57:00,1
2019-08-22 23:01:00,2
2019-08-22 23:03:00,1
2019-08-22 23:04:00,1
2019-08-22 23:06:00,1
2019-08-22 23:07:00,1
2019-08-22 23:13:00,2
2019-08-22 23:14:00,1
