37,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-11-02 02:09:00,1
2019-11-02 02:43:00,1
2019-11-02 03:52:00,1
2019-11-02 05:56:00,1
2019-11-02 08:19:00,1
2019-11-02 11:12:00,1
2019-11-02 12:37:00,1
2019-11-02 15:48:00,1
2019-11-02 16:44:00,1
2019-11-02 16:57:00,1
2019-11-02 16:58:00,1
2019-11-02 19:36:00,6
2019-11-02 21:09:00,1
2019-11-02 21:10:00,13
2019-11-02 21:52:00,1
2019-11-02 23:21:00,1
2019-11-02 23:38:00,1
2019-11-02 23:48:00,1
2019-11-02 23:51:00,1
2019-11-02 23:57:00,1
