21,"SELECT g.specObjID, p.type, p.u, p.g, p.r, p.i, p.z, g.spectrotype FROM galSpecInfo AS g     JOIN PhotoObjAll as p ON p.specObjID = g.specObjID ORDER BY g.specObjID"
2019-11-02 11:05:00,1
2019-11-02 11:07:00,1
2019-11-02 11:11:00,1
2019-11-02 11:15:00,1
2019-11-02 11:17:00,1
2019-11-02 11:22:00,1
2019-11-02 11:42:00,1
2019-11-02 11:49:00,1
2019-11-02 11:53:00,1
2019-11-02 12:36:00,1
2019-11-02 12:55:00,1
2019-11-02 13:08:00,1
2019-11-02 13:13:00,1
2019-11-02 13:31:00,1
2019-11-02 13:37:00,1
2019-11-02 14:11:00,2
2019-11-02 15:30:00,2
2019-11-02 15:34:00,1
2019-11-02 15:36:00,1
