15,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra between # and #   and s.z between # and #"
2019-11-02 09:04:00,1
2019-11-02 09:07:00,1
2019-11-02 09:08:00,1
2019-11-02 09:10:00,1
2019-11-02 09:11:00,1
2019-11-02 09:12:00,1
2019-11-02 09:13:00,1
2019-11-02 09:15:00,1
2019-11-02 09:34:00,1
2019-11-02 09:35:00,1
2019-11-02 09:36:00,1
2019-11-02 09:37:00,1
2019-11-02 09:46:00,1
2019-11-02 09:48:00,1
2019-11-02 09:51:00,1
