2,"SELECT p.specObjID, p.type, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll as p WHERE p.ra > #     and p.z between # and # ORDER BY p.specObjID"
2019-11-02 10:35:00,1
2019-11-02 10:38:00,1
