16,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-11-02 00:12:00,1
2019-11-02 05:06:00,1
2019-11-02 05:09:00,1
2019-11-02 05:14:00,1
2019-11-02 05:23:00,1
2019-11-02 05:40:00,1
2019-11-02 08:45:00,1
2019-11-02 08:47:00,1
2019-11-02 08:50:00,1
2019-11-02 08:55:00,1
2019-11-02 09:04:00,1
2019-11-02 09:21:00,1
2019-11-02 21:07:00,1
2019-11-02 21:41:00,1
2019-11-02 21:58:00,1
2019-11-02 22:22:00,1
