22,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-11-02 00:38:00,1
2019-11-02 02:26:00,1
2019-11-02 11:37:00,1
2019-11-02 11:41:00,1
2019-11-02 11:47:00,1
2019-11-02 11:55:00,1
2019-11-02 12:11:00,1
2019-11-02 12:36:00,1
2019-11-02 15:15:00,1
2019-11-02 16:36:00,1
2019-11-02 17:11:00,1
2019-11-02 18:10:00,1
2019-11-02 20:35:00,1
2019-11-02 20:36:00,1
2019-11-02 20:45:00,1
2019-11-02 20:48:00,1
2019-11-02 22:44:00,1
2019-11-02 23:30:00,1
2019-11-02 23:36:00,1
2019-11-02 23:40:00,1
2019-11-02 23:44:00,1
2019-11-02 23:49:00,1
