2,"select TOP # s.specobjid , s.ra, s.dec,s.velDisp from SpecObj s JOIN photoObj p ON p.objId= s.bestObjID WHERE s.class=GALAXY AND s.ra between # and #"
2019-11-02 07:31:00,1
2019-11-02 07:32:00,1
