103,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-08-10 05:00:00,1
2019-08-10 05:01:00,2
2019-08-10 05:02:00,4
2019-08-10 05:03:00,2
2019-08-10 05:04:00,3
2019-08-10 05:06:00,1
2019-08-10 05:07:00,6
2019-08-10 05:08:00,7
2019-08-10 05:09:00,6
2019-08-10 05:10:00,7
2019-08-10 05:11:00,6
2019-08-10 05:12:00,7
2019-08-10 05:13:00,6
2019-08-10 05:14:00,6
2019-08-10 05:15:00,5
2019-08-10 05:16:00,7
2019-08-10 05:17:00,7
2019-08-10 05:18:00,6
2019-08-10 05:20:00,1
2019-08-10 05:21:00,5
2019-08-10 05:22:00,4
2019-08-10 18:03:00,1
2019-08-10 18:07:00,1
2019-08-10 18:08:00,1
2019-08-10 18:11:00,1
