1500,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-08-10 19:36:00,1
2019-08-10 19:38:00,1
2019-08-10 21:29:00,2
2019-08-10 21:59:00,10
2019-08-10 22:00:00,20
2019-08-10 22:01:00,20
2019-08-10 22:02:00,20
2019-08-10 22:03:00,21
2019-08-10 22:04:00,20
2019-08-10 22:05:00,20
2019-08-10 22:06:00,13
2019-08-10 22:07:00,22
2019-08-10 22:08:00,21
2019-08-10 22:09:00,22
2019-08-10 22:10:00,20
2019-08-10 22:11:00,18
2019-08-10 22:12:00,21
2019-08-10 22:13:00,21
2019-08-10 22:14:00,20
2019-08-10 22:15:00,21
2019-08-10 22:16:00,21
2019-08-10 22:17:00,21
2019-08-10 22:18:00,21
2019-08-10 22:19:00,21
2019-08-10 22:20:00,20
2019-08-10 22:21:00,21
2019-08-10 22:22:00,20
2019-08-10 22:23:00,20
2019-08-10 22:24:00,20
2019-08-10 22:25:00,21
2019-08-10 22:26:00,21
2019-08-10 22:27:00,20
2019-08-10 22:28:00,19
2019-08-10 22:29:00,19
2019-08-10 22:30:00,20
2019-08-10 22:31:00,18
2019-08-10 22:32:00,19
2019-08-10 22:33:00,20
2019-08-10 22:34:00,20
2019-08-10 22:35:00,20
2019-08-10 22:36:00,20
2019-08-10 22:37:00,21
2019-08-10 22:38:00,20
2019-08-10 22:39:00,19
2019-08-10 22:40:00,21
2019-08-10 22:41:00,21
2019-08-10 22:42:00,22
2019-08-10 22:43:00,20
2019-08-10 22:44:00,21
2019-08-10 22:45:00,22
2019-08-10 22:46:00,21
2019-08-10 22:47:00,21
2019-08-10 22:48:00,21
2019-08-10 22:49:00,22
2019-08-10 22:50:00,21
2019-08-10 22:51:00,21
2019-08-10 22:52:00,22
2019-08-10 22:53:00,20
2019-08-10 22:54:00,20
2019-08-10 22:55:00,22
2019-08-10 22:56:00,21
2019-08-10 22:57:00,21
2019-08-10 22:58:00,21
2019-08-10 22:59:00,21
2019-08-10 23:00:00,20
2019-08-10 23:01:00,21
2019-08-10 23:02:00,19
2019-08-10 23:03:00,20
2019-08-10 23:04:00,21
2019-08-10 23:05:00,21
2019-08-10 23:06:00,21
2019-08-10 23:07:00,19
2019-08-10 23:08:00,19
2019-08-10 23:09:00,20
2019-08-10 23:10:00,18
2019-08-10 23:11:00,19
2019-08-10 23:12:00,19
2019-08-10 23:13:00,5
