203,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-08-10 05:00:00,7
2019-08-10 05:01:00,12
2019-08-10 05:02:00,9
2019-08-10 05:03:00,9
2019-08-10 05:04:00,10
2019-08-10 05:05:00,10
2019-08-10 05:06:00,8
2019-08-10 05:07:00,6
2019-08-10 05:08:00,7
2019-08-10 05:09:00,6
2019-08-10 05:10:00,7
2019-08-10 05:11:00,6
2019-08-10 05:12:00,7
2019-08-10 05:13:00,6
2019-08-10 05:14:00,6
2019-08-10 05:15:00,6
2019-08-10 05:16:00,6
2019-08-10 05:17:00,7
2019-08-10 05:18:00,6
2019-08-10 05:19:00,15
2019-08-10 05:20:00,10
2019-08-10 05:21:00,5
2019-08-10 05:22:00,10
2019-08-10 18:02:00,1
2019-08-10 18:03:00,1
2019-08-10 18:04:00,2
2019-08-10 18:05:00,1
2019-08-10 18:06:00,2
2019-08-10 18:07:00,1
2019-08-10 18:08:00,1
2019-08-10 18:09:00,2
2019-08-10 18:10:00,1
2019-08-10 18:11:00,2
2019-08-10 18:12:00,1
2019-08-10 18:13:00,2
2019-08-10 18:14:00,1
2019-08-10 18:15:00,1
2019-08-10 18:16:00,2
2019-08-10 18:17:00,1
