49,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-08-10 11:56:00,1
2019-08-10 11:57:00,1
2019-08-10 11:58:00,1
2019-08-10 11:59:00,2
2019-08-10 12:00:00,1
2019-08-10 12:01:00,1
2019-08-10 12:02:00,2
2019-08-10 12:03:00,1
2019-08-10 12:04:00,1
2019-08-10 12:05:00,2
2019-08-10 12:06:00,1
2019-08-10 12:08:00,2
2019-08-10 12:09:00,1
2019-08-10 12:10:00,2
2019-08-10 12:11:00,1
2019-08-10 12:12:00,2
2019-08-10 12:13:00,1
2019-08-10 12:14:00,2
2019-08-10 12:16:00,2
2019-08-10 12:17:00,1
2019-08-10 12:18:00,1
2019-08-10 12:19:00,2
2019-08-10 12:20:00,1
2019-08-10 12:21:00,1
2019-08-10 12:22:00,2
2019-08-10 12:23:00,1
2019-08-10 12:24:00,2
2019-08-10 12:25:00,1
2019-08-10 12:26:00,1
2019-08-10 12:27:00,2
2019-08-10 12:28:00,1
2019-08-10 12:29:00,1
2019-08-10 12:30:00,2
2019-08-10 12:31:00,1
2019-08-10 12:32:00,2
