120,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-02-14 12:28:00,1
2019-02-14 12:29:00,2
2019-02-14 12:30:00,2
2019-02-14 12:31:00,2
2019-02-14 12:32:00,2
2019-02-14 12:33:00,2
2019-02-14 12:34:00,2
2019-02-14 12:35:00,4
2019-02-14 12:36:00,2
2019-02-14 12:37:00,3
2019-02-14 12:38:00,2
2019-02-14 12:50:00,1
2019-02-14 12:51:00,5
2019-02-14 12:52:00,4
2019-02-14 12:53:00,5
2019-02-14 12:54:00,4
2019-02-14 12:55:00,5
2019-02-14 12:56:00,6
2019-02-14 12:57:00,2
2019-02-14 16:32:00,2
2019-02-14 16:33:00,1
2019-02-14 16:34:00,1
2019-02-14 16:36:00,1
2019-02-14 16:37:00,1
2019-02-14 16:38:00,1
2019-02-14 16:39:00,1
2019-02-14 16:40:00,1
2019-02-14 16:41:00,1
2019-02-14 16:42:00,3
2019-02-14 16:43:00,2
2019-02-14 16:50:00,1
2019-02-14 16:51:00,2
2019-02-14 16:52:00,2
2019-02-14 17:18:00,4
2019-02-14 17:19:00,2
2019-02-14 17:20:00,2
2019-02-14 17:21:00,1
2019-02-14 17:22:00,2
2019-02-14 17:23:00,1
2019-02-14 17:24:00,3
2019-02-14 17:26:00,2
2019-02-14 17:36:00,5
2019-02-14 17:37:00,4
2019-02-14 17:38:00,4
2019-02-14 17:39:00,5
2019-02-14 17:40:00,5
2019-02-14 17:41:00,4
