1907,"SELECT DISTINCT p.u, p.g, p.r, p.i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-14 21:23:00,4
2019-02-14 21:30:00,59
2019-02-14 21:31:00,166
2019-02-14 21:32:00,161
2019-02-14 21:33:00,155
2019-02-14 21:34:00,144
2019-02-14 21:40:00,144
2019-02-14 21:41:00,153
2019-02-14 21:42:00,155
2019-02-14 21:43:00,147
2019-02-14 21:44:00,158
2019-02-14 21:45:00,152
2019-02-14 21:46:00,141
2019-02-14 21:47:00,145
2019-02-14 21:48:00,23
