180,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-14 00:30:00,5
2019-02-14 00:31:00,1
2019-02-14 00:32:00,5
2019-02-14 00:33:00,5
2019-02-14 00:34:00,1
2019-02-14 00:35:00,9
2019-02-14 00:36:00,5
2019-02-14 00:37:00,10
2019-02-14 00:46:00,2
2019-02-14 00:47:00,3
2019-02-14 00:49:00,7
2019-02-14 00:50:00,13
2019-02-14 03:13:00,11
2019-02-14 03:14:00,5
2019-02-14 03:16:00,2
2019-02-14 03:27:00,1
2019-02-14 03:28:00,6
2019-02-14 03:29:00,6
2019-02-14 03:31:00,8
2019-02-14 03:32:00,8
2019-02-14 03:33:00,5
2019-02-14 04:27:00,4
2019-02-14 04:28:00,3
2019-02-14 04:32:00,4
2019-02-14 04:33:00,1
2019-02-14 04:34:00,1
2019-02-14 04:35:00,1
2019-02-14 04:36:00,12
2019-02-14 04:37:00,12
2019-02-14 04:38:00,10
2019-02-14 05:47:00,3
2019-02-14 05:48:00,5
2019-02-14 05:49:00,5
2019-02-14 05:50:00,1
