465,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-02-14 01:02:00,3
2019-02-14 01:03:00,1
2019-02-14 01:15:00,2
2019-02-14 01:17:00,2
2019-02-14 01:20:00,4
2019-02-14 01:21:00,5
2019-02-14 01:22:00,5
2019-02-14 01:23:00,2
2019-02-14 01:24:00,2
2019-02-14 01:26:00,4
2019-02-14 01:29:00,4
2019-02-14 01:39:00,4
2019-02-14 01:46:00,4
2019-02-14 01:49:00,4
2019-02-14 01:50:00,4
2019-02-14 01:51:00,4
2019-02-14 01:53:00,4
2019-02-14 01:55:00,2
2019-02-14 01:56:00,2
2019-02-14 02:02:00,4
2019-02-14 03:17:00,1
2019-02-14 03:18:00,3
2019-02-14 03:21:00,2
2019-02-14 03:22:00,2
2019-02-14 03:36:00,1
2019-02-14 03:37:00,3
2019-02-14 03:43:00,4
2019-02-14 04:29:00,4
2019-02-14 04:46:00,4
2019-02-14 04:47:00,2
2019-02-14 04:49:00,2
2019-02-14 04:55:00,2
2019-02-14 05:05:00,6
2019-02-14 10:29:00,4
2019-02-14 10:35:00,4
2019-02-14 10:36:00,4
2019-02-14 11:21:00,8
2019-02-14 11:22:00,4
2019-02-14 18:10:00,2
2019-02-14 18:12:00,1
2019-02-14 18:13:00,1
2019-02-14 18:15:00,5
2019-02-14 18:16:00,1
2019-02-14 18:17:00,4
2019-02-14 18:27:00,4
2019-02-14 18:36:00,6
2019-02-14 18:39:00,4
2019-02-14 18:40:00,4
2019-02-14 18:41:00,2
2019-02-14 18:42:00,2
2019-02-14 18:45:00,4
2019-02-14 19:05:00,4
2019-02-14 19:07:00,4
2019-02-14 19:08:00,4
2019-02-14 19:10:00,4
2019-02-14 19:11:00,4
2019-02-14 19:13:00,4
2019-02-14 19:14:00,4
2019-02-14 19:22:00,4
2019-02-14 19:23:00,4
2019-02-14 19:33:00,2
2019-02-14 19:34:00,2
2019-02-14 19:36:00,4
2019-02-14 19:41:00,4
2019-02-14 19:56:00,2
2019-02-14 19:57:00,2
2019-02-14 20:05:00,4
2019-02-14 20:07:00,4
2019-02-14 20:09:00,4
2019-02-14 20:12:00,2
2019-02-14 20:13:00,2
2019-02-14 20:15:00,4
2019-02-14 20:16:00,1
2019-02-14 20:17:00,3
2019-02-14 20:19:00,4
2019-02-14 20:30:00,3
2019-02-14 20:31:00,1
2019-02-14 20:35:00,2
2019-02-14 20:36:00,2
2019-02-14 20:40:00,4
2019-02-14 20:42:00,4
2019-02-14 20:43:00,4
2019-02-14 20:52:00,6
2019-02-14 20:54:00,4
2019-02-14 20:56:00,4
2019-02-14 20:59:00,4
2019-02-14 21:01:00,4
2019-02-14 21:06:00,1
2019-02-14 21:07:00,2
2019-02-14 21:15:00,1
2019-02-14 21:16:00,3
2019-02-14 21:20:00,2
2019-02-14 21:21:00,2
2019-02-14 21:35:00,4
2019-02-14 21:37:00,4
2019-02-14 21:39:00,3
2019-02-14 21:40:00,1
2019-02-14 21:55:00,4
2019-02-14 21:57:00,4
2019-02-14 21:58:00,1
2019-02-14 21:59:00,3
2019-02-14 22:03:00,4
2019-02-14 22:06:00,4
2019-02-14 22:08:00,6
2019-02-14 22:10:00,4
2019-02-14 22:11:00,2
2019-02-14 22:14:00,4
2019-02-14 22:21:00,4
2019-02-14 22:24:00,4
2019-02-14 22:27:00,4
2019-02-14 22:28:00,4
2019-02-14 22:29:00,4
2019-02-14 22:31:00,4
2019-02-14 22:34:00,6
2019-02-14 22:35:00,4
2019-02-14 22:37:00,4
2019-02-14 22:38:00,6
2019-02-14 22:39:00,2
2019-02-14 22:40:00,12
2019-02-14 22:41:00,8
2019-02-14 22:42:00,4
2019-02-14 22:43:00,12
2019-02-14 22:44:00,4
2019-02-14 22:45:00,8
2019-02-14 22:46:00,12
2019-02-14 22:47:00,4
2019-02-14 22:48:00,1
2019-02-14 22:49:00,3
2019-02-14 22:54:00,4
