46,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-02-14 02:56:00,1
2019-02-14 07:24:00,1
2019-02-14 07:28:00,1
2019-02-14 08:30:00,1
2019-02-14 08:48:00,1
2019-02-14 08:49:00,1
2019-02-14 08:53:00,1
2019-02-14 08:56:00,1
2019-02-14 08:58:00,1
2019-02-14 09:00:00,1
2019-02-14 09:02:00,1
2019-02-14 09:03:00,1
2019-02-14 09:06:00,1
2019-02-14 09:19:00,1
2019-02-14 09:23:00,1
2019-02-14 09:46:00,1
2019-02-14 09:47:00,1
2019-02-14 09:51:00,1
2019-02-14 09:52:00,1
2019-02-14 10:10:00,1
2019-02-14 10:15:00,1
2019-02-14 10:16:00,2
2019-02-14 10:19:00,1
2019-02-14 10:22:00,1
2019-02-14 10:59:00,1
2019-02-14 11:23:00,1
2019-02-14 11:33:00,1
2019-02-14 11:56:00,1
2019-02-14 12:05:00,1
2019-02-14 12:52:00,1
2019-02-14 12:55:00,1
2019-02-14 13:22:00,1
2019-02-14 13:54:00,2
2019-02-14 14:06:00,1
2019-02-14 15:19:00,1
2019-02-14 16:19:00,1
2019-02-14 16:34:00,1
2019-02-14 16:36:00,2
2019-02-14 16:37:00,1
2019-02-14 16:38:00,1
2019-02-14 16:43:00,1
2019-02-14 20:49:00,1
2019-02-14 22:17:00,1
