26,select * from zooNoSpec where objid=#
2019-11-28 00:01:00,1
2019-11-28 00:17:00,1
2019-11-28 00:27:00,2
2019-11-28 00:49:00,1
2019-11-28 01:45:00,1
2019-11-28 01:47:00,1
2019-11-28 02:28:00,1
2019-11-28 02:29:00,1
2019-11-28 02:30:00,2
2019-11-28 02:39:00,1
2019-11-28 05:55:00,1
2019-11-28 07:12:00,1
2019-11-28 07:13:00,1
2019-11-28 08:28:00,1
2019-11-28 09:36:00,1
2019-11-28 12:39:00,1
2019-11-28 12:52:00,1
2019-11-28 12:54:00,1
2019-11-28 13:13:00,1
2019-11-28 13:22:00,1
2019-11-28 14:41:00,1
2019-11-28 18:17:00,1
2019-11-28 20:52:00,1
2019-11-28 21:31:00,1
