2435,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-28 16:10:00,1
2019-11-28 16:11:00,13
2019-11-28 16:12:00,50
2019-11-28 16:13:00,45
2019-11-28 16:14:00,43
2019-11-28 16:15:00,52
2019-11-28 16:16:00,54
2019-11-28 16:17:00,127
2019-11-28 16:18:00,120
2019-11-28 16:19:00,37
2019-11-28 16:20:00,29
2019-11-28 16:21:00,31
2019-11-28 16:22:00,30
2019-11-28 16:23:00,31
2019-11-28 16:24:00,30
2019-11-28 16:25:00,31
2019-11-28 16:26:00,30
2019-11-28 16:27:00,26
2019-11-28 16:28:00,28
2019-11-28 16:29:00,3
2019-11-28 19:36:00,1
2019-11-28 19:37:00,40
2019-11-28 19:38:00,51
2019-11-28 19:39:00,42
2019-11-28 19:40:00,47
2019-11-28 19:41:00,58
2019-11-28 19:42:00,100
2019-11-28 19:43:00,93
2019-11-28 19:44:00,67
2019-11-28 19:45:00,34
2019-11-28 19:46:00,24
2019-11-28 19:47:00,29
2019-11-28 19:48:00,31
2019-11-28 19:49:00,30
2019-11-28 19:50:00,30
2019-11-28 19:51:00,29
2019-11-28 19:52:00,30
2019-11-28 19:53:00,30
2019-11-28 19:54:00,34
2019-11-28 19:55:00,11
2019-11-28 21:37:00,1
2019-11-28 21:46:00,34
2019-11-28 21:47:00,53
2019-11-28 21:48:00,44
2019-11-28 21:49:00,43
2019-11-28 21:50:00,62
2019-11-28 21:51:00,93
2019-11-28 21:52:00,118
2019-11-28 21:53:00,81
2019-11-28 21:54:00,30
2019-11-28 21:55:00,30
2019-11-28 21:56:00,31
2019-11-28 21:57:00,30
2019-11-28 21:58:00,30
2019-11-28 21:59:00,30
2019-11-28 22:00:00,31
2019-11-28 22:01:00,30
2019-11-28 22:02:00,38
2019-11-28 22:03:00,4
