24,select * from zoo2Stripe8#Coadd1 where dr8objid=#
2019-11-28 01:18:00,1
2019-11-28 01:36:00,1
2019-11-28 01:46:00,1
2019-11-28 02:04:00,1
2019-11-28 02:19:00,1
2019-11-28 02:31:00,2
2019-11-28 02:58:00,1
2019-11-28 03:41:00,1
2019-11-28 06:09:00,1
2019-11-28 06:36:00,1
2019-11-28 09:44:00,1
2019-11-28 09:56:00,1
2019-11-28 10:01:00,1
2019-11-28 10:34:00,1
2019-11-28 11:03:00,1
2019-11-28 11:21:00,1
2019-11-28 11:38:00,1
2019-11-28 12:26:00,1
2019-11-28 12:53:00,1
2019-11-28 13:20:00,1
2019-11-28 13:57:00,1
2019-11-28 19:13:00,1
2019-11-28 19:55:00,1
