24,select * from zoo2Stripe8#Coadd2 where dr8objid=#
2019-11-28 02:07:00,1
2019-11-28 02:16:00,1
2019-11-28 02:40:00,1
2019-11-28 02:42:00,1
2019-11-28 05:04:00,1
2019-11-28 06:46:00,1
2019-11-28 06:49:00,1
2019-11-28 06:51:00,1
2019-11-28 07:59:00,1
2019-11-28 08:30:00,1
2019-11-28 09:19:00,1
2019-11-28 10:00:00,1
2019-11-28 10:51:00,1
2019-11-28 11:04:00,1
2019-11-28 11:15:00,1
2019-11-28 11:18:00,1
2019-11-28 12:12:00,1
2019-11-28 12:33:00,1
2019-11-28 12:41:00,1
2019-11-28 13:59:00,1
2019-11-28 22:50:00,1
2019-11-28 23:10:00,1
2019-11-28 23:27:00,1
2019-11-28 23:34:00,1
