27,select * from zooConfidence where objid=#
2019-11-28 00:19:00,1
2019-11-28 00:39:00,1
2019-11-28 01:10:00,1
2019-11-28 02:03:00,1
2019-11-28 02:28:00,1
2019-11-28 02:32:00,1
2019-11-28 02:38:00,1
2019-11-28 02:41:00,1
2019-11-28 07:51:00,1
2019-11-28 08:14:00,1
2019-11-28 08:55:00,1
2019-11-28 09:05:00,1
2019-11-28 10:15:00,1
2019-11-28 10:22:00,1
2019-11-28 10:40:00,1
2019-11-28 10:55:00,1
2019-11-28 11:21:00,1
2019-11-28 11:44:00,1
2019-11-28 11:47:00,1
2019-11-28 11:55:00,1
2019-11-28 12:18:00,1
2019-11-28 12:48:00,1
2019-11-28 13:26:00,1
2019-11-28 13:33:00,1
2019-11-28 17:02:00,1
2019-11-28 20:33:00,1
2019-11-28 22:51:00,1
