27,select * from zooSpec where objid=#
2019-11-28 00:22:00,1
2019-11-28 01:12:00,1
2019-11-28 01:17:00,1
2019-11-28 01:42:00,1
2019-11-28 02:03:00,1
2019-11-28 02:30:00,1
2019-11-28 02:31:00,1
2019-11-28 02:39:00,1
2019-11-28 02:59:00,1
2019-11-28 05:36:00,1
2019-11-28 06:29:00,1
2019-11-28 06:54:00,1
2019-11-28 07:49:00,1
2019-11-28 07:57:00,1
2019-11-28 09:23:00,1
2019-11-28 10:05:00,1
2019-11-28 10:21:00,1
2019-11-28 10:32:00,1
2019-11-28 11:02:00,1
2019-11-28 11:11:00,1
2019-11-28 12:47:00,1
2019-11-28 13:03:00,1
2019-11-28 13:15:00,1
2019-11-28 13:27:00,1
2019-11-28 18:04:00,1
2019-11-28 18:44:00,1
2019-11-28 20:44:00,1
