20,select description from DataConstants where field=&&&  and [name]=&&&
2019-11-28 02:32:00,1
2019-11-28 02:56:00,1
2019-11-28 02:57:00,1
2019-11-28 02:58:00,1
2019-11-28 03:01:00,1
2019-11-28 03:12:00,1
2019-11-28 03:18:00,2
2019-11-28 03:19:00,1
2019-11-28 03:21:00,1
2019-11-28 03:25:00,1
2019-11-28 03:49:00,1
2019-11-28 04:14:00,1
2019-11-28 05:14:00,1
2019-11-28 05:15:00,1
2019-11-28 05:16:00,1
2019-11-28 08:09:00,1
2019-11-28 12:27:00,1
2019-11-28 19:24:00,1
2019-11-28 19:32:00,1
