29,select * from zoo2MainPhotoz where dr8objid=#
2019-11-28 01:04:00,1
2019-11-28 01:38:00,1
2019-11-28 01:41:00,1
2019-11-28 02:04:00,1
2019-11-28 02:05:00,2
2019-11-28 02:27:00,1
2019-11-28 02:37:00,1
2019-11-28 03:01:00,1
2019-11-28 03:02:00,1
2019-11-28 03:29:00,1
2019-11-28 07:40:00,1
2019-11-28 08:17:00,1
2019-11-28 08:59:00,1
2019-11-28 09:33:00,1
2019-11-28 09:43:00,1
2019-11-28 09:59:00,1
2019-11-28 10:47:00,1
2019-11-28 11:19:00,1
2019-11-28 11:26:00,1
2019-11-28 11:43:00,1
2019-11-28 12:16:00,1
2019-11-28 12:34:00,1
2019-11-28 12:37:00,1
2019-11-28 13:51:00,1
2019-11-28 18:47:00,1
2019-11-28 20:11:00,1
2019-11-28 20:28:00,1
2019-11-28 21:28:00,1
