40,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-11-28 00:29:00,1
2019-11-28 00:41:00,1
2019-11-28 00:42:00,1
2019-11-28 00:55:00,1
2019-11-28 01:24:00,1
2019-11-28 01:51:00,1
2019-11-28 01:56:00,1
2019-11-28 01:59:00,1
2019-11-28 02:36:00,1
2019-11-28 02:37:00,1
2019-11-28 03:15:00,1
2019-11-28 03:19:00,1
2019-11-28 03:30:00,1
2019-11-28 05:03:00,1
2019-11-28 05:14:00,1
2019-11-28 06:48:00,1
2019-11-28 06:49:00,1
2019-11-28 07:05:00,1
2019-11-28 07:25:00,1
2019-11-28 08:25:00,1
2019-11-28 09:21:00,1
2019-11-28 09:53:00,1
2019-11-28 10:01:00,1
2019-11-28 10:55:00,1
2019-11-28 11:00:00,1
2019-11-28 11:11:00,1
2019-11-28 11:22:00,1
2019-11-28 11:31:00,1
2019-11-28 11:42:00,1
2019-11-28 12:46:00,1
2019-11-28 12:55:00,1
2019-11-28 13:28:00,1
2019-11-28 13:46:00,1
2019-11-28 14:31:00,1
2019-11-28 14:51:00,1
2019-11-28 16:27:00,1
2019-11-28 19:38:00,1
2019-11-28 20:35:00,1
2019-11-28 23:07:00,1
2019-11-28 23:58:00,1
