57,"select ra,dec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroR5#_r,probPSF,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z, p.objid from (PhotoTag p inner join fGetObjFromRectEq(#,#,#,#) r on p.objid=r.objid)"
2019-01-31 19:05:00,1
2019-01-31 19:08:00,1
2019-01-31 19:09:00,1
2019-01-31 19:10:00,1
2019-01-31 19:11:00,1
2019-01-31 19:13:00,3
2019-01-31 19:14:00,1
2019-01-31 19:16:00,1
2019-01-31 19:17:00,2
2019-01-31 19:18:00,1
2019-01-31 19:19:00,1
2019-01-31 19:20:00,2
2019-01-31 19:21:00,1
2019-01-31 19:22:00,2
2019-01-31 19:23:00,1
2019-01-31 19:24:00,2
2019-01-31 19:26:00,2
2019-01-31 19:27:00,2
2019-01-31 19:28:00,3
2019-01-31 19:29:00,1
2019-01-31 19:30:00,2
2019-01-31 19:32:00,3
2019-01-31 19:33:00,2
2019-01-31 19:34:00,2
2019-01-31 19:35:00,1
2019-01-31 19:37:00,2
2019-01-31 19:38:00,3
2019-01-31 19:39:00,2
2019-01-31 19:40:00,1
2019-01-31 19:42:00,2
2019-01-31 19:43:00,3
2019-01-31 19:44:00,1
2019-01-31 19:45:00,1
2019-01-31 19:46:00,1
2019-01-31 19:47:00,1
